ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,ret_from_break_pct,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,nh_break_events,nh_lookback_n,recent_5d_growth
300592,20240126,20260421,20260401,12.36,13.73,11.08,11.08,13,11.01,24.7,6.72,4.29,0.0,0.0,2.63,6,6,1.0,19.41,8.46,27.86,0,60,5.86
688362,20241220,20260421,20260401,39.74,47.48,19.48,19.48,13,34.18,38.91,7.98,19.6,0.0,0.0,7.48,6,6,1.0,27.66,9.03,36.69,0,60,-0.38
688234,20241220,20260421,20260401,86.8,97.82,12.7,12.7,13,88.19,10.92,5.55,4.23,0.0,0.0,2.38,7,5,1.4,22.28,9.67,31.95,0,60,5.82
603010,20240126,20260421,20260401,11.68,12.91,10.53,10.53,13,10.6,21.79,1.11,6.76,0.0,0.0,2.25,7,5,1.4,13.55,3.3,16.85,3,60,2.38
300199,20240126,20260421,20260401,20.15,21.69,7.64,7.64,13,18.94,14.52,3.08,3.92,0.0,0.0,1.79,9,3,3.0,15.28,7.5,22.77,1,60,2.26
002107,20240126,20260421,20260401,6.75,7.7,14.07,14.07,13,6.59,16.84,2.96,17.78,0.0,0.0,5.93,7,5,1.4,30.13,15.6,45.74,2,60,-1.66
605100,20241220,20260421,20260401,41.39,48.98,18.34,18.34,13,44.76,9.43,5.82,8.29,0.0,0.0,3.65,9,3,3.0,24.11,6.73,30.85,0,60,6.94
301188,20241220,20260421,20260401,20.45,25.93,26.8,26.8,13,17.86,45.18,15.75,15.01,0.0,0.0,7.65,6,6,1.0,43.43,17.21,60.64,5,60,9.13
002579,20240126,20260421,20260401,12.29,13.25,7.81,7.81,13,12.24,8.25,6.18,3.42,0.0,0.0,2.26,8,4,2.0,14.26,6.51,20.77,0,60,1.69
688488,20241220,20260421,20260401,17.82,18.75,5.22,5.22,13,16.56,13.22,2.64,15.1,0.0,0.0,5.06,6,5,1.2,15.46,9.92,25.38,0,60,-3.5
688800,20241220,20260421,20260401,83.9,96.71,15.27,15.27,13,83.3,16.1,6.39,14.48,0.0,0.0,5.62,8,4,2.0,20.65,5.69,26.33,0,60,1.06
000301,20240126,20260421,20260401,10.89,12.37,13.59,13.59,13,10.7,15.61,5.14,5.23,0.0,0.0,2.6,9,3,3.0,18.94,5.83,24.77,0,60,8.51
603286,20240126,20260421,20260331,57.69,64.31,11.48,11.48,14,67.93,-5.33,3.09,6.81,0.0,0.0,2.66,8,5,1.6,19.61,8.32,27.94,0,60,4.37
605055,20241220,20260421,20260331,9.56,10.98,14.85,14.85,14,9.71,13.08,4.29,8.58,0.0,0.0,3.43,7,6,1.17,26.28,11.71,37.99,6,60,5.78
688758,20241220,20260421,20260331,19.65,21.47,9.26,9.26,14,18.35,17.0,-2.04,2.14,0.0,0.0,0.23,8,4,2.0,20.11,10.62,30.73,2,60,6.98
002454,20240126,20260421,20260331,9.24,10.6,14.72,14.72,14,8.68,22.12,0.43,13.42,0.0,0.0,4.11,9,4,2.25,19.19,5.11,24.3,5,60,1.15
600184,20240126,20260421,20260331,18.41,24.44,32.75,32.75,14,19.35,26.3,0.54,13.85,0.0,0.0,4.26,9,4,2.25,38.83,9.21,48.04,5,60,16.6
001313,20241220,20260421,20260331,7.77,8.41,8.24,8.24,14,7.41,13.5,-0.9,4.76,0.0,0.0,1.25,9,4,2.25,14.51,6.36,20.87,2,60,3.32
600713,20240126,20260421,20260331,5.28,5.78,9.47,9.47,14,5.52,4.71,7.2,13.07,0.0,0.0,5.36,8,5,1.6,28.39,18.16,46.56,3,60,-3.18
688383,20241220,20260421,20260330,73.58,97.8,32.92,32.92,15,80.71,21.17,18.9,30.42,0.0,0.0,12.91,10,4,2.5,33.83,4.53,38.36,6,60,2.75
600724,20240126,20260421,20260330,6.39,7.15,11.89,11.89,15,5.62,27.22,0.47,6.57,0.0,0.0,2.06,7,7,1.0,24.12,12.0,36.12,1,60,5.61
600502,20240126,20260421,20260330,5.12,5.89,15.04,15.04,15,4.69,25.59,2.73,10.16,0.0,0.0,3.59,9,5,1.8,24.75,9.86,34.61,3,60,1.2
301333,20241220,20260421,20260330,63.65,68.62,7.81,7.81,15,61.78,11.07,3.53,4.05,0.0,0.0,1.92,8,5,1.6,21.75,13.49,35.24,0,60,0.22
002850,20240126,20260421,20260330,177.32,199.61,12.57,12.57,15,159.74,24.96,2.07,4.27,0.0,0.0,1.69,9,5,1.8,22.3,9.71,32.01,4,60,5.62
688677,20241220,20260421,20260330,47.83,86.73,81.33,81.33,15,43.98,97.2,46.06,49.49,0.0,0.0,24.06,8,6,1.33,75.68,12.07,87.75,8,60,22.17
300762,20241220,20260421,20260330,35.55,41.81,17.61,17.61,15,43.1,-2.99,-1.83,1.69,0.0,0.0,0.14,10,4,2.5,24.79,7.88,32.67,0,60,8.85
000628,20240126,20260421,20260330,51.9,60.0,15.61,15.61,15,45.59,31.61,-5.13,7.75,0.0,0.0,1.3,9,5,1.8,24.67,9.55,34.22,2,60,5.58
300839,20241220,20260421,20260330,13.5,15.09,11.78,11.78,15,12.08,24.92,9.04,10.37,0.0,0.0,4.92,8,6,1.33,33.46,19.54,53.0,0,60,-0.07
300780,20241220,20260421,20260330,21.89,24.92,13.84,13.84,15,18.95,31.5,-3.84,6.49,0.0,0.0,1.18,9,5,1.8,25.7,11.7,37.39,0,60,3.4
002051,20240126,20260421,20260330,8.76,11.97,36.64,36.64,15,8.68,37.9,8.79,12.33,0.0,0.0,5.46,8,6,1.33,56.66,22.29,78.96,6,60,10.63
603585,20240126,20260421,20260327,20.74,23.59,13.74,13.74,16,19.38,21.72,7.43,8.87,0.0,0.0,4.15,8,7,1.14,43.33,27.96,71.29,3,60,-10.64
300834,20241220,20260421,20260327,24.58,44.69,81.81,81.81,16,24.5,82.41,76.93,56.43,0.0,0.0,32.32,9,6,1.5,86.96,20.34,107.3,4,60,6.97
000935,20240126,20260421,20260327,24.91,28.11,12.85,12.85,16,25.44,10.5,3.57,6.26,0.0,0.0,2.59,11,4,2.75,19.52,7.14,26.66,0,60,3.8
002876,20240126,20260421,20260327,25.16,29.44,17.01,17.01,16,23.84,23.49,4.57,10.57,0.0,0.0,4.08,8,7,1.14,28.17,11.54,39.71,2,60,-0.88
603271,20241220,20260421,20260327,44.29,51.01,15.17,15.17,16,41.19,23.84,7.59,8.2,0.0,0.0,3.98,8,7,1.14,23.54,8.74,32.28,0,60,6.96
603399,20240126,20260421,20260327,11.72,12.7,8.36,8.36,16,10.73,18.36,-2.56,0.68,0.0,0.0,-0.31,8,7,1.14,25.98,16.96,42.94,3,60,-0.47
600488,20240126,20260421,20260327,4.33,6.41,48.04,48.04,16,4.14,54.83,46.42,48.27,0.0,0.0,23.76,9,6,1.5,80.98,36.81,117.79,7,60,3.05
600007,20240126,20260421,20260327,20.14,21.4,6.26,6.26,16,19.78,8.19,5.46,6.16,0.0,0.0,2.94,10,5,2.0,9.5,3.36,12.86,6,60,0.71
603239,20240126,20260421,20260327,21.33,24.0,12.52,12.52,16,20.82,15.27,12.94,20.35,0.0,0.0,8.69,7,8,0.88,23.75,11.02,34.77,1,60,-1.32
002788,20240126,20260421,20260327,13.71,15.13,10.36,10.36,16,20.65,-26.73,24.29,11.38,0.0,0.0,8.27,8,7,1.14,46.51,33.72,80.23,0,60,4.34
002328,20240126,20260421,20260327,7.15,12.51,74.97,74.97,16,6.63,88.69,3.5,41.4,0.0,0.0,13.12,12,3,4.0,67.87,9.39,77.26,10,60,5.66
300871,20241220,20260421,20260327,23.83,27.92,17.16,17.16,16,21.25,31.39,11.12,3.4,0.0,0.0,3.24,9,6,1.5,29.38,12.56,41.94,0,60,10.31
002738,20240126,20260421,20260327,73.02,83.26,14.02,14.02,16,84.13,-1.03,0.94,6.49,0.0,0.0,2.14,9,6,1.5,23.18,9.41,32.59,0,60,-0.04
600769,20240126,20260421,20260327,13.6,14.98,10.15,10.15,16,12.72,17.77,2.72,7.72,0.0,0.0,2.86,8,7,1.14,21.5,11.17,32.67,1,60,3.67
