ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,ret_from_break_pct,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,nh_break_events,nh_lookback_n,recent_5d_growth
XBI,20240126,20260418,20260331,127.73,138.67,8.56,8.56,13,121.52,14.11,0.88,6.26,0.0,0.0,2.05,9,3,3.0,11.0,2.66,13.65,5,60,5.01
GLTR,20240126,20260418,20260331,218.72,230.6,5.43,5.43,13,207.95,10.89,-0.9,4.49,0.0,0.0,1.17,7,5,1.4,9.35,3.94,13.28,0,60,4.19
CATY,20240126,20260418,20260331,49.86,54.25,8.8,8.8,13,48.67,11.46,3.31,8.02,0.0,0.0,3.07,8,4,2.0,11.21,2.65,13.87,1,60,1.25
PRIM,20240126,20260418,20260331,143.04,164.81,15.22,15.22,13,130.61,26.18,4.13,16.21,0.0,0.0,5.69,7,5,1.4,24.09,9.33,33.43,0,60,0.56
IVOO,20240126,20260418,20260331,114.32,123.44,7.98,7.98,13,113.33,8.92,1.51,5.94,0.0,0.0,2.08,10,2,5.0,8.35,0.6,8.94,1,60,2.41
CARZ,20240126,20260418,20260331,80.82,96.01,18.79,18.79,13,80.17,19.76,2.86,13.97,0.0,0.0,4.76,9,3,3.0,17.82,0.33,18.15,5,60,6.43
CSWC,20240126,20260418,20260331,22.12,24.3,9.86,9.86,13,22.29,9.02,2.03,7.23,0.0,0.0,2.58,8,4,2.0,12.14,2.62,14.76,3,60,5.06
VIS,20240126,20260418,20260331,312.22,331.34,6.12,6.12,12,304.5,8.81,1.67,7.85,0.0,0.0,2.69,6,5,1.2,8.49,2.44,10.93,0,60,-0.14
VEA,20240126,20260418,20260331,64.08,69.63,8.66,8.66,13,63.2,10.17,1.58,7.51,0.0,0.0,2.57,7,5,1.4,10.02,1.59,11.61,0,60,2.08
IWX,20240126,20260418,20260331,92.67,98.13,5.89,5.89,13,92.55,6.03,1.19,4.92,0.0,0.0,1.71,10,2,5.0,6.71,0.94,7.65,1,60,1.43
