ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,ret_from_break_pct,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,nh_break_events,nh_lookback_n,recent_5d_growth
01898,20240126,20260418,20260106,10.4,13.39,28.75,28.75,68,10.1,32.57,5.77,5.38,5.29,17.12,7.78,36,29,1.24,76.15,48.8,124.95,10,60,-0.37
02883,20240126,20260418,20260106,7.34,8.92,21.53,21.53,68,7.17,24.41,0.82,8.04,15.8,32.15,13.75,34,32,1.06,76.82,55.22,132.03,14,60,-4.39
03116,20240126,20260412,20260106,90.16,98.66,9.43,9.43,63,89.9,9.74,1.35,3.04,3.73,9.07,4.12,35,25,1.4,39.09,29.39,68.48,12,60,2.79
03939,20230625,20260418,20260106,8.75,13.0,48.57,48.57,68,7.87,65.18,9.26,42.97,47.54,83.43,45.69,32,34,0.94,170.55,119.75,290.3,17,60,-7.08
01171,20240126,20260418,20260106,10.07,14.39,42.9,42.9,68,9.75,47.59,7.45,10.43,10.33,34.16,14.55,37,30,1.23,92.74,54.31,147.05,11,60,-0.48
01475,20250412,20260418,20260106,6.9,7.35,6.52,6.52,68,6.92,6.21,-0.72,0.72,5.07,8.7,3.33,34,25,1.36,26.53,19.93,46.46,6,60,0.0
80016,20250412,20260418,20260102,85.23,115.8,35.86,35.86,70,85.23,35.86,6.69,15.43,28.98,36.96,22.05,41,26,1.58,78.93,46.45,125.38,17,60,-2.36
02678,20240126,20260418,20260102,4.83,6.74,39.54,39.54,70,4.83,39.54,-0.83,0.62,13.25,21.12,8.22,34,32,1.06,91.09,55.03,146.12,14,60,0.0
01579,20240126,20260418,20260102,12.93,15.6,20.65,20.65,70,12.93,20.65,3.17,7.73,15.08,24.9,12.46,31,37,0.84,89.89,68.16,158.05,15,60,-4.41
01057,20240126,20260418,20251231,4.91,5.72,16.5,16.5,71,4.95,15.56,19.55,18.33,17.31,12.42,17.09,34,35,0.97,126.34,102.62,228.96,3,60,3.62
02865,20250412,20260418,20251229,20.68,32.12,55.32,55.32,73,22.0,46.0,0.19,22.44,76.21,99.52,49.54,33,37,0.89,226.75,158.26,385.01,12,60,7.28
00326,20240126,20260418,20251223,2.33,7.3,213.3,213.3,75,2.95,147.46,12.02,60.52,66.09,80.69,56.53,46,23,2.0,208.66,84.51,293.17,23,60,10.61
01888,20240126,20260418,20251222,12.22,28.26,131.26,131.26,76,13.44,110.27,9.33,7.2,18.17,22.59,14.0,42,33,1.27,172.12,81.13,253.25,16,60,15.07
00148,20230625,20260418,20251222,26.7,41.18,54.23,54.23,76,29.58,39.22,9.89,8.61,16.48,18.35,13.18,42,33,1.27,114.47,67.6,182.07,15,60,3.42
00411,20230625,20260418,20251222,11.25,12.6,12.0,12.0,76,11.1,13.51,-1.33,0.89,13.33,10.49,6.1,19,15,1.27,28.44,16.57,45.01,6,60,-0.79
02039,20240126,20260418,20251219,8.88,10.7,20.5,20.5,77,9.34,14.56,1.24,2.93,1.91,12.39,4.18,33,40,0.82,105.67,82.07,187.75,11,60,0.94
03988,20240126,20260418,20251218,4.38,5.11,16.67,16.67,78,4.53,12.8,1.14,1.83,2.51,5.48,2.63,41,27,1.52,38.66,22.81,61.46,10,60,1.39
02315,20250412,20260418,20251218,26.0,58.55,125.19,125.19,78,34.74,68.54,34.92,37.69,52.77,61.38,46.4,38,39,0.97,210.76,116.68,327.44,8,60,2.72
03070,20240126,20260412,20251217,37.04,41.74,12.7,12.7,74,38.42,8.64,1.58,3.74,3.14,7.63,3.91,45,25,1.8,32.67,20.35,53.02,10,60,1.07
82331,20250412,20260418,20251212,15.98,18.27,14.33,14.33,82,16.63,9.86,8.26,6.45,6.63,13.08,8.19,38,40,0.95,80.81,65.16,145.97,14,60,-5.92
01038,20240126,20260418,20251211,52.8,64.6,22.35,22.35,83,57.1,13.13,4.17,10.89,14.77,19.6,12.45,46,35,1.31,63.04,41.74,104.78,23,60,-1.37
02331,20240126,20260418,20251210,17.49,20.98,19.95,19.95,84,18.56,13.04,4.57,10.01,12.24,21.67,11.92,40,42,0.95,90.22,69.51,159.73,16,60,-5.58
06869,20230625,20260418,20251208,36.34,206.0,466.87,466.87,86,52.4,293.13,30.16,42.41,44.06,45.02,40.98,48,37,1.3,371.52,171.19,542.7,22,60,-4.1
09881,20250412,20260418,20251128,12.89,17.7,37.32,37.32,82,15.98,10.76,-1.47,-0.7,26.07,49.03,17.12,42,35,1.2,143.53,103.5,247.03,12,60,-11.5
00631,20240126,20260418,20251128,7.27,11.54,58.73,58.73,92,8.66,33.26,4.54,8.39,15.82,26.0,13.37,49,40,1.23,139.25,87.97,227.22,30,60,-8.19
00113,20240126,20260418,20251128,5.34,6.3,17.98,17.98,92,5.58,12.9,5.62,3.56,6.74,3.37,4.89,46,37,1.24,49.46,32.08,81.54,9,60,2.11
09638,20250412,20260418,20251127,24.96,39.6,58.65,58.65,93,27.72,42.86,4.25,4.25,8.65,20.19,8.76,33,26,1.27,105.05,54.49,159.54,14,60,-2.22
03199,20240126,20260412,20251111,113.67,120.0,5.57,5.57,100,115.9,3.54,0.44,-0.04,0.26,0.83,0.32,52,34,1.53,14.79,9.31,24.1,25,60,0.84
02057,20250412,20260418,20251110,145.64,194.7,33.68,33.68,106,163.64,18.98,-2.13,0.07,13.8,12.36,6.21,54,48,1.12,89.96,59.12,149.08,24,60,0.1
00290,20240126,20260418,20251110,1.78,6.58,269.66,269.66,106,2.65,148.3,10.11,20.79,28.65,43.26,25.51,69,34,2.03,235.84,94.67,330.51,30,60,-3.52
00878,20230625,20260418,20251107,6.08,7.17,17.93,17.93,107,6.3,13.81,1.97,2.96,2.3,1.97,2.37,50,46,1.09,51.12,33.9,85.02,11,60,4.52
01570,20240126,20260418,20251107,1.62,7.6,369.14,369.14,107,5.13,48.15,-4.32,-1.85,38.89,233.33,56.91,52,43,1.21,385.62,175.04,560.66,18,60,-0.65
00006,20240126,20260418,20251106,50.65,63.2,24.78,24.78,108,55.15,14.6,1.97,1.48,3.46,5.13,2.9,61,41,1.49,61.23,38.35,99.58,30,60,-2.69
00322,20240126,20260418,20251105,11.86,12.52,5.56,5.56,109,11.71,6.92,1.52,1.94,2.28,-0.93,1.38,55,50,1.1,79.32,71.87,151.19,16,60,-5.37
00115,20240126,20260418,20251031,3.2,8.48,165.0,165.0,112,7.5,13.07,18.75,37.5,93.75,156.25,74.38,40,42,0.95,136.99,34.93,171.93,27,60,-5.36
00288,20240126,20260418,20251031,7.46,10.54,41.29,41.29,112,8.7,21.15,6.7,14.48,9.52,17.02,11.94,60,50,1.2,93.26,56.92,150.18,25,60,-1.22
02338,20240126,20260418,20251030,15.36,31.5,105.08,105.08,113,18.98,65.96,16.15,28.52,23.76,29.17,24.75,62,49,1.27,195.63,116.04,311.67,19,60,-3.61
02829,20240126,20260412,20251027,58.8,62.28,5.92,5.92,110,60.16,3.52,0.27,0.2,0.57,0.96,0.48,58,31,1.87,11.17,5.39,16.56,23,60,0.84
01712,20250412,20260418,20251021,8.09,8.93,10.38,10.38,119,6.76,32.1,-17.18,-22.87,-23.49,-17.18,-20.78,60,56,1.07,241.42,211.15,452.58,9,60,-3.56
01398,20240126,20260418,20251020,5.75,7.03,22.18,22.18,120,6.34,10.88,2.78,4.52,10.43,9.56,6.95,71,43,1.65,65.57,44.68,110.25,14,60,0.72
03928,20250412,20260418,20251020,4.73,17.3,265.75,265.75,120,8.66,99.77,4.44,6.13,111.42,83.93,52.94,68,48,1.42,289.19,141.52,430.71,23,60,-6.49
00066,20240126,20260418,20251015,26.94,34.04,26.35,26.35,123,30.24,12.57,1.41,3.49,13.07,15.37,8.32,70,49,1.43,76.11,51.49,127.6,28,60,3.47
06288,20240126,20260412,20251014,25.58,36.78,43.78,43.78,119,27.6,33.26,3.28,7.97,12.59,5.55,7.93,56,47,1.19,113.3,73.33,186.63,15,60,18.72
00995,20230625,20260418,20251014,12.22,15.43,26.27,26.27,124,12.77,20.83,1.15,-1.06,11.62,14.48,6.29,70,51,1.37,96.98,71.72,168.7,15,60,3.14
00002,20200331,20260418,20251009,63.61,74.15,16.57,16.57,127,68.59,8.11,0.79,0.39,3.07,4.79,2.15,74,47,1.57,44.19,28.51,72.7,37,60,-1.46
82388,20250412,20260418,20251006,33.28,38.14,14.62,14.62,129,35.9,6.24,0.3,-0.06,5.53,6.09,2.92,71,55,1.29,69.77,55.14,124.91,14,60,0.53
09936,20250412,20260418,20251006,6.41,15.23,137.6,137.6,129,6.1,149.67,-1.72,-4.68,6.4,7.96,1.76,59,67,0.88,311.32,203.53,514.84,19,60,-5.17
01179,20250412,20260418,20251006,29.54,43.14,46.04,46.04,129,37.28,15.72,-0.81,1.02,6.5,15.44,5.18,74,50,1.48,120.55,80.17,200.73,17,60,5.58
08603,20250412,20260418,20251006,2.24,6.0,167.86,167.86,129,5.46,9.89,-3.13,-0.45,-0.89,36.16,6.2,73,53,1.38,240.55,131.43,371.98,16,60,-0.83
01286,20250412,20260418,20251006,4.44,9.34,110.36,110.36,129,4.98,87.55,-3.6,-5.63,9.91,17.79,4.12,59,66,0.89,249.2,163.49,412.69,19,60,1.3
02436,20250412,20260418,20251006,4.5,13.2,193.33,193.33,129,4.6,186.96,-9.78,-9.33,-10.0,-10.0,-9.75,36,30,1.2,216.19,82.24,298.43,3,60,2.33
