breakthrough_date,breakthrough_price,breakthrough_ratio,final_gain,ma120,success,ts_code,volume_ratio
20250729,73.0,2.8832,-0.26,70.95,False,sh688798,2.096
20240812,36.06,0.5239,2.91,35.87,False,sh601088,0.6405
20240912,10.95,0.2734,0.0,10.92,False,sh603881,1.1202
20251015,52.97,5.1567,12.46,50.37,False,sh688336,0.9861
20240927,3.61,3.5398,0.28,3.49,False,sh600624,0.7557
20250710,8.1,0.5618,2.59,8.05,False,sh603387,0.9502
20250924,6.12,2.6257,-1.31,5.96,False,sh603880,1.0511
20240731,5.24,0.3863,-3.63,5.22,False,sh600497,0.6832
20250717,17.25,0.1128,2.2,17.23,False,sh688378,1.8046
20251126,24.53,9.6604,1.3,22.37,False,sh601089,1.9476
20240923,18.4,2.9054,8.75,17.88,False,sh600988,1.7691
20240930,14.47,5.2154,-3.73,13.75,False,sh600072,2.9738
20260105,35.19,5.0236,-6.31,33.51,False,sh603382,6.889
20250703,65.99,9.2238,-9.09,60.42,False,sh688333,3.3698
20240926,3.42,2.6527,2.64,3.33,False,sh600515,1.8351
20240731,13.44,1.9772,-4.46,13.18,False,sh600346,1.0691
20240930,12.97,2.5067,-9.33,12.65,False,sh601717,2.6732
20260324,26.24,3.9651,9.41,25.24,False,sh688350,0.7455
20250811,18.22,2.3619,1.92,17.8,False,sh688299,1.5037
20240930,88.81,8.3695,2.91,81.95,False,sh601127,2.9011
20240926,6.15,2.6596,4.88,5.99,False,sh600325,3.4555
20250624,27.04,1.0504,0.7,26.76,False,sh688819,2.0263
20240731,22.99,1.02,1.78,22.76,False,sh600196,1.957
20241008,21.47,1.2459,-13.78,21.21,False,sh603960,4.3248
20240807,5.04,1.0408,1.19,4.99,False,sh601169,1.1646
20250702,1.77,2.1891,4.52,1.73,False,sh601588,1.6716
20240830,0.27,1.8237,-0.75,0.26,False,sh900957,1.2318
20240926,3.87,0.864,5.43,3.83,False,sh600738,1.4901
20240930,15.28,6.8454,-4.71,14.3,False,sh603029,4.4131
20260105,3.5,0.1192,0.86,3.5,False,sh601326,1.0265
20240930,2.7,2.0376,-6.67,2.65,False,sh600396,3.8346
20240920,9.63,2.495,5.3,9.39,False,sh600776,2.0437
20250624,54.16,2.4732,6.67,52.85,False,sh603486,1.2395
20240814,32.38,1.0277,0.25,32.05,False,sh600211,2.2801
20240927,3.66,1.7491,3.55,3.6,False,sh601789,2.3569
20250624,14.98,0.1119,-1.0,14.96,False,sh688207,2.2383
20251013,14.03,2.2654,1.57,13.72,False,sh603836,1.8713
20240927,1841.66,1.8336,3.01,1808.5,False,sh000160,1.5314
20240930,5.48,9.5653,-5.29,5.0,False,sh603330,3.9955
20240819,6.66,3.2585,-4.35,6.45,False,sh600421,5.1378
20250725,28.48,1.6558,-1.44,28.02,False,sh688380,2.1524
20241107,6.98,1.558,-5.01,6.87,False,sh600975,1.61
20240926,2.54,2.1104,5.89,2.49,False,sh600108,2.2017
20250722,21.8,1.3962,1.97,21.5,False,sh688249,3.7291
20240918,5.33,1.0602,4.32,5.27,False,sh600692,1.3134
20240927,10.91,1.0002,1.38,10.8,False,sh603587,1.8955
20240925,2.74,1.3189,20.44,2.7,True,sh600816,7.676
20251020,23.99,2.3144,7.09,23.45,False,sh688199,0.5268
20250723,48.8,3.4164,31.15,47.19,True,sh688603,2.6585
20251103,8.08,0.1498,0.99,8.07,False,sh601921,1.1393
20240926,4.34,4.5446,1.61,4.15,False,sh600858,3.3603
20240821,3.54,1.9218,-9.04,3.47,False,sh600676,0.7161
20251216,6.14,1.4443,-2.12,6.05,False,sh600874,6.1621
20250721,39.64,0.8269,0.15,39.31,False,sh603082,1.2064
20240927,11.96,2.2689,3.85,11.69,False,sh600372,1.5073
20240927,48.44,2.2094,-10.92,47.39,False,sh603979,0.9637
20240802,8.75,4.9866,-6.0,8.33,False,sh600615,3.0159
20250702,8.35,1.3483,1.44,8.24,False,sh603105,2.7542
20240731,15.94,0.0466,-3.14,15.93,False,sh600875,1.144
20251215,18.68,0.8857,-0.32,18.52,False,sh603231,0.7796
20250806,69.49,4.2724,-1.71,66.64,False,sh603662,2.4794
20240731,9.3,2.1246,-4.52,9.1,False,sh600592,3.3561
20250624,5.72,0.9352,3.32,5.67,False,sh600173,0.9191
20240924,1.9,1.0549,53.68,1.88,True,sh600208,1.333
20250717,14.01,1.2558,-1.28,13.84,False,sh603305,2.209
20240927,6.94,0.6283,2.16,6.9,False,sh600888,2.0592
20250725,28.84,0.3517,1.25,28.74,False,sh688107,1.7624
20240926,7.15,0.27,10.07,7.13,False,sh600246,4.3154
20240801,13.98,0.0832,-6.36,13.97,False,sh603663,1.8884
20240730,6.19,6.5435,29.24,5.81,True,sh600721,1.2479
20240925,1.88,0.1465,12.77,1.88,False,sh603030,2.1123
20240927,2.3,1.9767,3.91,2.26,False,sh600172,1.8156
20251014,5.7,0.4671,-0.53,5.67,False,sh601658,1.6855
20240927,3454.09,1.3414,7.82,3408.37,False,sh000137,1.5495
20250826,56.77,2.5901,2.08,55.34,False,sh603786,3.1428
20240920,12.98,1.8705,10.09,12.74,False,sh600476,2.0056
20250924,21.39,0.8126,9.12,21.22,False,sh688737,1.1022
20250624,4.52,1.714,0.88,4.44,False,sh601068,2.1247
