ts_code,breakthrough_date,breakthrough_price,ma120_at_breakthrough,held_p0,held_ma120,held_p0_days,held_ma120_days,min_deviation_p0,min_deviation_ma,broke_p0_count,broke_ma_count,max_gain,final_gain,success
sh600792,20240930,3.62,3.38,False,False,53,61,-12.15,-9.89,67,59,15.19,-11.6,False
sh688280,20251024,7.94,7.91,False,False,112,100,-2.9,-4.53,4,16,42.32,41.44,True
sh600008,20240902,2.66,2.59,False,False,109,80,-4.51,-5.44,11,40,27.44,7.14,False
sh600638,20240731,4.44,4.11,False,False,82,85,-18.72,-10.94,38,35,45.4,9.18,False
sh600462,20240903,1.52,1.52,False,False,26,77,-16.45,-8.15,94,43,31.58,-10.53,False
sh688579,20251021,11.48,11.23,False,False,59,58,-12.98,-13.43,59,60,12.89,-2.35,False
sh601689,20240926,39.43,37.13,True,True,120,120,0.0,0.0,0,0,88.2,45.19,True
sh688050,20250901,81.13,80.3,False,False,1,4,-30.26,-16.48,119,116,1.57,-29.79,False
sh601113,20240930,3.5,3.3,False,False,107,114,-8.0,-1.88,13,6,28.57,22.86,True
sh603167,20240930,7.31,6.93,False,False,100,118,-8.07,-2.93,20,2,12.59,7.11,False
sh688399,20260204,71.46,69.12,False,False,0,4,-30.46,-26.78,44,40,0.0,-20.24,False
sh605577,20250711,13.09,13.01,False,False,96,91,-5.19,-9.07,24,29,17.42,3.67,False
sh600742,20240926,7.36,7.11,True,True,120,120,0.0,0.0,0,0,28.12,14.67,False
sh688403,20251124,13.62,13.04,True,False,94,67,0.0,-18.79,0,27,68.21,29.15,True
sh603052,20251027,29.26,29.05,False,False,108,103,-4.1,-3.93,7,12,213.36,213.36,True
sh601069,20240801,11.92,11.81,False,False,57,57,-14.26,-14.37,63,63,14.43,6.12,False
sh603787,20240902,10.32,10.19,False,False,65,72,-8.53,-6.88,55,48,16.18,3.97,False
sh600096,20240731,18.0,17.52,False,False,107,104,-6.0,-7.66,13,16,24.5,19.28,False
sh603519,20240927,9.8,9.68,False,False,118,110,-0.71,-3.63,2,10,50.82,15.41,False
sh601877,20240925,18.78,18.6,True,True,120,120,0.0,0.0,0,0,31.68,23.37,True
sh688080,20250804,46.9,46.89,False,False,119,82,-0.85,-8.53,1,38,47.4,26.91,True
sh601838,20251014,18.23,18.22,False,False,8,31,-15.19,-11.45,112,89,2.3,-5.16,False
sh603803,20240930,6.58,6.14,False,True,112,120,-3.65,0.0,8,0,123.71,53.04,True
sh600415,20240826,7.76,7.68,True,True,120,120,0.0,0.0,0,0,91.24,60.57,True
sh688233,20260401,70.43,70.43,False,False,8,8,-4.87,-5.09,3,3,7.17,7.17,False
sh603282,20260325,20.3,20.22,False,False,13,14,-2.02,-2.37,3,2,4.68,4.24,False
sh603528,20240926,6.37,6.29,True,False,120,115,0.0,-1.56,0,5,59.03,29.51,True
