ts_code,breakthrough_date,roe,netprofit_yoy,new_high,final_gain,success
sh688819,20250624,2.6127,-16.342,False,0.92,False
sh600196,20240731,2.6439,-31.0932,False,0.13,False
sh603960,20241008,3.1154,-21.0476,False,-8.85,False
sh601169,20240807,4.3871,2.395,False,3.17,False
sh601588,20250702,-17.8008,-114.7335,False,1.69,False
sh900957,20240830,,,False,-0.37,False
sh600738,20240926,3.7639,61.7864,False,1.81,False
sh603029,20240930,1.7783,18.2873,False,-2.36,False
sh601326,20260105,7.0214,3.8701,False,-1.43,False
sh600396,20240930,28.4358,123.6086,False,-9.26,False
sh600776,20240920,2.5722,24.5315,False,7.06,False
sh603486,20250624,6.3458,59.4291,False,3.62,False
sh600211,20240814,17.4638,4.5699,False,0.09,False
sh601789,20240927,2.9876,-17.7454,False,6.56,False
sh688207,20250624,-2.2099,-64.2246,False,-2.34,False
sh603836,20251013,1.877,-59.1519,False,6.2,False
sh000160,20240927,,,False,2.18,False
sh603330,20240930,-0.2494,-495.4206,False,-4.56,False
sh600421,20240819,-29.9497,-35.9543,False,-7.66,False
sh688380,20250725,2.8951,100.9883,False,-0.7,False
sh600975,20241107,0.0411,100.164,False,-5.87,False
sh600108,20240926,0.6996,-19.5111,False,2.75,False
sh688249,20250722,1.5855,77.6066,False,-0.18,False
sh600692,20240918,1.3972,160.4262,False,9.38,False
sh603587,20240927,6.0679,-27.4619,False,0.46,False
sh600816,20240925,0.271,42.8682,False,11.68,False
sh688199,20251020,0.1062,111.2718,False,3.04,False
sh688603,20250723,3.2474,0.2219,False,31.45,True
sh601921,20251103,4.6403,46.1225,False,-0.5,False
sh600858,20240926,4.2841,-46.1992,False,-1.61,False
sh600676,20240821,-2.3874,-136.4457,False,-10.45,False
sh600874,20251216,7.1012,3.5881,False,-3.42,False
sh603082,20250721,4.8827,6.822,False,1.56,False
sh600372,20240927,2.4913,-11.8354,False,5.35,False
sh603979,20240927,8.0531,52.2901,False,-12.8,False
sh600615,20240802,0.3981,172.2705,False,-13.14,False
sh603105,20250702,4.8046,1.1417,False,0.48,False
sh600875,20240731,4.5303,-15.518,False,-12.42,False
sh603231,20251215,7.6438,59.999,False,-2.3,False
sh603662,20250806,6.2656,47.9344,False,3.83,False
sh600592,20240731,2.6743,-44.6887,False,-10.22,False
sh600173,20250624,0.9288,-24.4833,False,5.59,False
sh600208,20240924,3.571,-4.839,False,38.95,True
sh603305,20250717,3.0122,-24.2219,False,-5.07,False
sh600888,20240927,6.4201,-22.1207,False,2.59,False
sh688107,20250725,-12.4418,-16.5703,False,2.64,False
sh600246,20240926,-1.4148,17.9658,False,9.23,False
sh603663,20240801,4.8579,-20.953,False,-8.58,False
sh600721,20240730,3.1483,74.3212,False,7.92,False
sh603030,20240925,-0.8075,-127.0133,False,11.17,False
sh600172,20240927,-10.4855,-13.2248,False,3.91,False
sh601658,20251014,6.9813,0.9813,False,6.49,False
sh000137,20240927,,,False,14.39,False
sh603786,20250826,8.4207,21.3397,False,10.22,False
sh600476,20240920,-3.8095,70.0848,False,11.17,False
sh688737,20250924,-0.6549,-313.8609,False,4.72,False
sh601068,20250624,0.9969,-36.7099,False,1.55,False
sh603600,20240926,5.8752,-11.0053,False,13.26,False
sh600111,20240927,0.2106,-95.7011,False,2.94,False
sh600438,20240927,-5.4493,-123.5825,False,-1.59,False
sh603535,20251020,5.5374,-10.4104,False,2.23,False
sh688584,20250624,0.4625,5.1507,False,0.28,False
sh603018,20241021,4.6764,-33.784,False,8.37,False
sh603530,20250627,3.7631,7.0179,False,2.1,False
sh603363,20251229,14.0124,150.542,False,-5.77,False
sh603057,20250916,5.3471,-47.2043,False,-12.45,False
sh600968,20250911,6.6785,13.1497,False,-3.53,False
sh601811,20240801,5.376,-6.0842,False,3.37,False
sh688161,20250625,1.3014,48.3685,False,-0.77,False
sh688236,20260105,6.5993,213.2083,False,4.26,False
sh600177,20240731,4.7828,-9.6797,False,6.01,False
sh601375,20240731,1.4401,20.31,False,-3.17,False
sh600724,20240926,4.1517,1.3581,False,-1.35,False
sh000151,20240927,,,False,1.48,False
sh601188,20240927,1.6941,-33.2745,False,7.81,False
sh603629,20250709,3.0218,21.7762,False,-1.85,False
sh688278,20250717,16.1205,40.5965,False,19.14,False
sh603806,20240930,5.8853,4.9499,False,-5.06,False
sh603628,20240930,4.2556,-50.3823,False,-4.72,False
sh601872,20240816,6.6951,-9.8812,False,-7.23,False
sh688085,20250627,0.6507,711.8536,False,4.6,False
sh603286,20240926,0.8808,64.5617,False,1.46,False
sh601595,20240927,4.1685,4.9233,False,6.83,False
sh603086,20240927,0.2549,-90.0856,False,2.7,False
sh600797,20240920,-0.9676,-138.2233,False,12.42,False
sh000856,20240927,,,False,9.68,False
sh688302,20251209,-8.6472,35.6486,False,-3.41,False
sh688665,20260226,9.9463,74.197,False,-11.45,False
sh603933,20250625,1.0075,-27.3959,False,2.77,False
sh603583,20250624,2.5648,62.2114,False,-4.59,False
sh603219,20250804,4.8264,-29.7038,False,20.9,True
sh603950,20250716,5.9969,72.0726,False,-10.19,False
sh688055,20250624,-1.3436,2.6403,False,0.0,False
sh900928,20240731,,,False,-0.19,False
sh601116,20240808,2.4588,-11.1746,False,-14.03,False
sh603257,20251201,4.085,18.8733,False,-3.42,False
sh601158,20240815,2.4763,-41.5996,False,-6.3,False
sh600642,20240807,6.4079,18.659,False,2.5,False
sh600011,20250320,7.5202,20.0097,False,2.55,False
sh688503,20250630,1.9088,18.2433,False,8.87,False
sh600576,20240906,2.1719,-2.9167,False,-2.65,False
sh688484,20251114,4.7721,-29.6618,False,-4.17,False
sh600822,20240926,2.3232,-82.7279,False,4.07,False
sh000079,20240930,,,False,-6.77,False
sh603229,20240806,8.0588,12.2572,False,-7.96,False
sh600538,20241018,-2.4316,-32.7773,False,17.0,False
sh603205,20250624,2.007,15.4226,False,2.45,False
sh600841,20240909,-13.3012,25.284,False,-6.64,False
sh603903,20241008,-0.1359,-102.6561,False,-7.71,False
sh600308,20240926,1.9767,9.2076,False,4.14,False
sh688180,20251015,-9.8654,35.7229,False,1.38,False
sh900934,20240830,,,False,-6.3,False
sh603383,20240731,3.423,-21.1082,False,-9.16,False
sh688049,20251201,7.8598,113.8499,False,-6.88,False
sh688560,20250924,-1.9434,-713.541,False,0.71,False
sh600621,20240731,1.9178,-9.2618,False,-2.8,False
sh600989,20250707,13.0372,73.0156,False,2.41,False
sh601939,20250902,4.7078,-1.3692,False,-2.32,False
sh688007,20250729,-4.9236,-1300.2535,False,4.71,False
sh603879,20241025,-8.3872,-10.34,False,34.39,True
sh600715,20240905,,-74.4508,False,-3.12,False
sh600272,20240904,5.1223,83.2529,False,4.16,False
sh603182,20260306,7.5725,7.4641,False,-13.17,False
sh688133,20250624,0.1839,122.2685,False,10.89,False
sh601369,20240927,5.2935,-13.3256,False,4.73,False
sh688479,20250924,0.8596,-67.3389,False,-0.26,False
sh600958,20250114,4.184,21.66,False,-1.45,False
sh600125,20240930,3.9565,-11.3541,False,-5.73,False
sh603067,20240927,8.392,24.5417,False,-0.7,False
sh688150,20250929,6.9788,36.7425,False,1.04,False
sh688099,20250725,7.4268,37.1177,False,-5.76,False
sh603505,20240927,10.3005,32.5406,False,-8.56,False
sh601016,20240731,5.1536,-1.6706,False,-2.07,False
sh688432,20250708,2.4295,-18.7368,False,2.13,False
sh603318,20240926,2.6365,15.0979,False,5.59,False
sh601058,20240924,13.1661,105.7667,False,1.17,False
sh688681,20251218,5.9886,128.0394,False,3.3,False
sh600409,20240927,2.4035,111.2269,False,3.0,False
sh603357,20250710,4.668,-24.233,False,2.31,False
sh688178,20251128,-3.6427,-877.2498,False,-3.04,False
sh601668,20240830,6.7439,1.6482,False,-12.11,False
sh600970,20240930,7.2363,2.2754,False,-8.33,False
sh600697,20240808,0.6091,16.4696,False,-9.14,False
sh600710,20240731,8.2323,12.1195,False,-3.26,False
sh688598,20250624,-1.6651,-56.3256,False,3.56,False
sh600143,20240815,2.2499,-19.0342,False,7.36,False
sh688202,20260107,-1.4124,76.9303,False,-3.11,False
sh603529,20260323,20.0999,22.7766,False,-5.43,False
sh688651,20250711,-3.7784,-94.8031,False,5.91,False
sh600510,20240926,0.549,-56.0451,False,3.23,False
sh600343,20240919,-3.5165,-105.7499,False,15.25,False
sh603766,20240730,6.982,17.4824,False,-6.83,False
sh688565,20251125,0.9699,118.8801,False,2.34,False
sh603949,20250815,4.0174,25.9991,False,-0.84,False
sh688185,20250630,-0.2354,93.2124,False,3.69,False
sh600039,20240930,7.1722,-43.473,False,13.78,False
sh600844,20240927,-23.1639,-28.3204,False,-3.14,False
sh603906,20240927,-6.8075,66.2304,False,29.32,True
sh603728,20240927,1.4002,-24.8788,False,5.22,False
sh900952,20250117,,,False,-12.5,False
sh600193,20241101,-6.9295,-160.1473,False,1.42,False
sh600609,20240730,17.1251,64.7677,False,-9.0,False
sh600320,20240926,1.9433,9.5037,False,3.89,False
sh688061,20260108,-1.5551,-62.7015,False,9.07,False
sh688355,20250625,1.2107,-19.7717,False,1.2,False
sh600869,20240816,-2.8518,-140.6554,False,-1.06,False
sh600387,20240930,,,False,-6.1,False
sh600596,20240927,1.0372,15.4736,False,-1.01,False
sh603666,20250716,-0.9206,76.7301,False,-5.03,False
sh688699,20250724,-2.8971,-616.6644,False,16.97,False
sh605077,20251110,5.2214,-9.9148,False,-8.79,False
sh688103,20251105,4.8769,111.2089,False,-5.07,False
sh603980,20240927,2.5838,363.9983,False,5.82,False
sh600176,20240801,3.363,-53.4064,False,-5.21,False
sh603667,20240930,2.5831,-9.6385,False,-1.57,False
sh600725,20240930,-0.8758,-244.8064,False,9.89,False
sh688733,20250624,-0.7658,6.2393,False,0.31,False
sh601997,20240926,4.2608,-7.0839,False,11.53,False
sh000133,20240927,,,False,12.23,False
sh600115,20240927,-7.0759,55.7686,False,-8.12,False
sh600746,20240926,2.2176,145.6894,False,5.91,False
sh603056,20260114,-3.3565,-153.5384,False,22.09,True
sh688580,20251021,6.2186,30.6808,False,8.2,False
sh601022,20260126,9.0279,31.6118,False,-2.76,False
sh600508,20240927,3.7033,-60.0159,False,-1.23,False
sh600812,20240731,1.3522,171.1728,False,4.47,False
sh603899,20240927,7.8871,4.7051,False,-7.21,False
sh601117,20240806,4.8104,-3.6321,False,-3.92,False
sh600021,20240807,4.7087,65.7182,False,-6.06,False
sh688360,20251024,7.6941,-5.9777,False,0.71,False
sh600376,20240920,-9.3735,-2.1861,False,11.44,False
sh600525,20240904,-0.761,-147.8677,False,3.97,False
sh688550,20251212,8.9581,51.5425,False,-3.03,False
sh600611,20241218,2.3312,-20.1941,False,-16.6,False
sh603100,20240927,9.0694,2.6964,False,2.68,False
sh900904,20240926,,,False,6.38,False
sh603429,20240930,-4.8746,-191.2195,False,5.8,False
sh603235,20250908,7.6588,3.142,False,-2.53,False
sh603936,20240731,1.2148,-23.3689,False,-8.81,False
sh600009,20240927,1.9972,515.0185,False,-2.56,False
sh603718,20240930,1.2232,-81.4959,False,-15.33,False
sh600793,20240926,-14.5904,-142.106,False,6.52,False
sh688348,20250721,2.1703,-9.8811,False,2.2,False
sh603757,20251124,7.4496,-27.6878,False,4.24,False
sh000852,20240927,,,False,11.93,False
sh688306,20250722,-1.5417,8.6479,False,-1.07,False
sh688032,20250708,0.2657,-91.3276,False,-1.55,False
sh600520,20240830,2.2386,108.0748,False,-7.32,False
sh000061,20250326,,,False,0.57,False
sh688536,20250723,1.2302,200.0735,False,8.49,False
sh600990,20240731,-1.814,4.2522,False,-10.46,False
sh603166,20240927,3.1575,44.9684,False,1.79,False
sh600310,20240926,0.385,216.2049,False,10.31,False
sh688051,20251222,-9.7979,-114.3561,False,1.33,False
sh601688,20240906,2.957,-18.99,False,6.98,False
sh603400,20260120,11.0919,8.6002,False,-3.26,False
sh688578,20251215,27.4288,52.009,False,5.49,False
sh603955,20241008,0.9939,-6.2626,False,0.43,False
sh603128,20240927,5.1583,-13.7343,False,-2.5,False
sh600639,20240925,2.3561,-78.3281,False,12.75,False
sh600025,20250821,6.2235,10.5442,False,0.22,False
sh600097,20240930,-1.1783,4.1001,False,-4.24,False
sh603367,20251031,6.313,-4.0457,False,1.93,False
sh603329,20250916,1.8245,42.5555,False,-4.95,False
sh688251,20260206,0.962,-75.5066,False,10.7,False
sh603601,20240927,3.4353,-6.2987,False,4.79,False
sh600743,20240920,-15.8872,23.4583,False,12.5,False
sh600110,20240930,-2.6527,-285.5656,False,-6.82,False
sh605011,20250701,4.6836,-5.5156,False,-0.26,False
sh688165,20250819,-9.6393,-83.1201,False,4.61,False
sh603031,20240930,5.1436,42.7378,False,3.11,False
sh603283,20250801,3.8989,-20.5029,False,12.91,False
sh688232,20260112,-1.967,-667.7271,False,-5.58,False
sh688106,20250624,1.4253,-42.4663,False,-1.58,False
sh601616,20240801,1.2201,88.3492,False,-0.36,False
sh000155,20240926,,,False,5.67,False
sh603557,20251113,-118.4606,-46.3259,False,-12.28,False
sh000966,20240927,,,False,4.68,False
sh600711,20240930,7.7962,524.1387,False,7.65,False
sh605377,20250728,3.9514,-48.4696,False,-1.19,False
sh603000,20240927,0.439,-77.3187,False,0.98,False
sh688137,20260113,-1.3801,-58.0591,False,-0.2,False
sh600276,20240806,8.2605,48.6722,False,-1.55,False
sh603567,20240806,5.0785,281.9254,False,-3.16,False
sh603833,20240927,5.5747,-12.6134,False,-2.46,False
sh603335,20251219,-16.2575,44.2207,False,-2.09,False
sh600238,20240927,1.8745,108.8917,False,-7.17,False
sh603999,20240924,1.7524,1.3203,False,9.02,False
sh000934,20240731,,,False,-2.58,False
sh000149,20240816,,,False,-1.77,False
sh603319,20240927,5.1396,7.2973,False,15.13,False
sh600408,20240927,-10.4473,32.8103,False,1.7,False
sh603062,20260121,8.0643,18.1273,False,1.39,False
sh600392,20240927,-0.7937,-181.5906,False,3.68,False
sh688260,20260105,-84.2543,-82.9432,False,11.02,False
sh601825,20250902,5.5955,0.5991,False,-5.99,False
sh688433,20250625,0.0723,-94.634,False,8.37,False
sh603630,20240930,1.9078,-31.6354,False,-4.23,False
sh600121,20240927,0.6393,-79.7546,False,6.19,False
sh000107,20240927,,,False,1.31,False
sh600446,20240924,-2.1041,-223.1906,False,21.63,True
sh688707,20251020,-7.8282,-0.4849,False,1.79,False
sh600015,20240816,3.8676,2.8562,False,-4.83,False
sh600868,20240926,0.5284,-32.3558,False,7.81,False
sh603682,20250625,5.149,310.5835,False,6.83,False
sh600572,20240930,5.5728,-25.9494,False,-7.33,False
sh688633,20250708,2.8648,-24.4961,False,4.75,False
sh600826,20240906,2.1525,-57.4055,False,-2.18,False
sh603201,20250624,3.1288,10.2433,False,3.51,False
sh600496,20240926,3.1839,-30.1673,False,2.72,False
sh688337,20250701,0.5163,112.1004,False,-9.59,False
sh605177,20250625,-0.3695,-128.7846,False,5.5,False
sh000828,20240926,,,False,13.2,False
sh603885,20240927,5.8068,508.8805,False,-2.68,False
sh688332,20250819,3.2759,-2.6102,False,3.36,False
sh600073,20240830,5.0721,-24.1663,False,-1.68,False
sh600309,20240926,9.0756,-4.5968,False,-5.25,False
sh688181,20250624,1.1595,25.2525,False,1.88,False
sh688048,20250624,-0.2516,61.4435,False,6.75,False
sh603130,20251113,3.745,-24.8947,False,7.9,False
sh605208,20260121,2.3482,39.5828,False,-4.89,False
sh603700,20250929,3.3384,76.8328,False,0.75,False
sh601168,20240927,10.4513,7.5538,False,-2.79,False
sh600539,20240925,-1.6808,12.2516,False,11.08,False
sh603267,20250905,4.2707,52.9647,False,9.54,False
sh600197,20240930,5.0466,12.1312,False,-12.61,False
sh603686,20240930,2.8633,-28.1018,False,-3.54,False
sh688065,20250624,0.9422,30.1081,False,-2.16,False
sh605111,20250729,5.7951,8.0276,False,3.26,False
sh900918,20240730,,,False,-1.14,False
sh603701,20240816,2.036,4.4966,False,-1.84,False
sh600643,20240919,1.6862,-47.2524,False,34.88,True
sh601212,20240926,0.0821,116.8197,False,4.8,False
sh688298,20250630,-1.7537,-71.4128,False,2.71,False
sh688502,20250711,2.7624,110.3563,False,25.36,True
sh600916,20250701,4.3578,-46.3465,False,-0.49,False
sh601788,20240924,2.0745,-41.87,False,12.45,False
sh688151,20251010,0.1058,-83.9155,False,0.18,False
sh688702,20250725,-1.0157,58.3578,False,-6.18,False
sh601012,20240927,-7.7743,-157.1271,False,3.07,False
sh603501,20240927,6.3355,792.7908,False,12.54,False
sh600210,20240925,6.1564,16.3039,False,6.67,False
sh603066,20240926,5.5908,-4.1485,False,3.16,False
sh600397,20240924,-23.7442,-300.4256,False,8.29,False
sh688685,20250624,5.267,407.6163,False,-2.51,False
sh603028,20240925,-1.74,-140.5368,False,0.64,False
sh603855,20241008,16.5339,6.6249,False,-5.19,False
sh600739,20240925,1.5791,-7.482,False,22.1,True
sh688478,20250624,-0.1609,-117.0955,False,3.13,False
sh605296,20250904,7.7851,212.6465,False,2.05,False
sh000952,20240926,,,False,8.78,False
sh603004,20250624,1.7872,-15.0364,False,2.9,False
sh600693,20240926,1.9848,-30.4537,False,0.99,False
sh600109,20240925,1.3997,-47.98,False,14.99,False
sh600420,20240926,5.666,108.2888,False,2.42,False
sh000161,20240927,,,False,6.39,False
sh688455,20251020,-6.2205,-5.5611,False,9.33,False
sh688206,20251126,2.1156,173.4558,False,4.86,False
sh600714,20240927,1.4763,76.2865,False,4.42,False
sh603656,20240930,0.5081,-43.6858,False,13.97,False
sh601226,20240927,0.874,-38.0693,False,-0.19,False
sh600859,20240731,1.4853,-43.3641,False,-6.96,False
sh688365,20251103,-1.5791,73.0323,False,-8.6,False
sh688602,20250924,1.1113,257.0802,False,-2.36,False
sh603129,20251119,21.1303,30.8936,False,6.67,False
sh688198,20250729,5.78,102.8963,False,9.02,False
sh600543,20240830,-1.0655,28.1195,False,6.33,False
sh600817,20240924,3.4764,-13.9145,False,14.41,False
sh603586,20240821,1.4791,-61.6677,False,-12.06,False
sh603230,20251112,7.2648,-31.7995,False,-1.71,False
sh688281,20250627,1.3642,-45.2324,False,-0.9,False
sh900901,20240926,,,False,17.2,False
sh605108,20250820,3.1708,-11.0554,False,-0.63,False
sh600373,20240926,3.3684,-27.4848,False,3.56,False
sh603083,20260302,10.7302,70.882,False,4.52,False
sh688661,20251208,3.0067,447.1036,False,12.42,False
sh603719,20250710,-4.3587,-491.5897,False,-6.56,False
sh603937,20251218,-0.9378,-333.6615,False,4.79,False
sh603985,20241008,-2.2269,-226.9038,False,-12.61,False
sh600720,20240927,5.0566,34.7146,False,3.99,False
sh603556,20240731,8.0469,21.9977,False,-1.56,False
sh600941,20250808,6.1237,5.0299,False,-0.42,False
sh600889,20240730,-8.3529,-34.777,False,18.37,False
sh603518,20241008,4.7128,-15.1593,False,-8.88,False
sh688081,20250625,-4.7104,-55.0674,False,0.69,False
sh688148,20260316,-23.8019,-1.761,False,-11.82,False
sh600593,20240930,5.3789,-36.4702,False,-6.02,False
sh603861,20240926,2.4942,28.3262,False,2.52,False
sh688585,20260305,4.6575,-6.9175,False,8.85,False
sh603053,20250624,3.7637,-8.4119,False,2.4,False
sh600439,20240913,0.2966,-41.3953,False,18.83,False
sh603328,20240816,6.8154,41.0519,False,8.69,False
sh688398,20260121,2.2284,-60.936,False,15.04,False
sh603860,20250905,-0.0414,93.472,False,-1.58,False
sh601992,20240926,-1.1063,-296.7205,False,3.21,False
sh600477,20240926,3.0684,-20.3043,False,2.55,False
sh603366,20240926,1.422,-38.8473,False,1.25,False
sh000136,20240930,,,False,-3.87,False
sh600221,20240930,-34.0775,60.4788,False,-12.4,False
sh600927,20251021,3.6596,13.3133,False,4.86,False
sh688160,20250714,3.3511,13.5786,False,3.95,False
sh603605,20250724,14.3498,13.8013,False,-2.78,False
sh688449,20250730,3.2055,36.376,False,5.72,False
sh600708,20240920,0.0762,-5.1952,False,17.37,False
sh600926,20240924,8.323,20.0599,False,12.8,False
sh603019,20240731,2.9919,3.3798,False,-10.98,False
sh603848,20250624,1.3617,-39.7334,False,3.23,False
sh688084,20250911,-0.485,61.7884,False,8.46,False
sh600138,20240927,1.1668,-31.842,False,-2.28,False
sh688279,20250818,4.4886,-4.5149,False,-5.47,False
sh688750,20250626,0.3856,-74.0419,False,0.48,False
sh601568,20251107,1.8511,-10.8768,False,-4.87,False
sh603300,20240930,5.8698,3.0294,False,-9.32,False
sh000150,20240927,,,False,1.37,False
sh688237,20260209,0.9152,-44.2831,False,-4.17,False
sh688037,20260324,-0.3724,-109.336,False,13.14,False
sh000819,20240927,,,False,1.46,False
sh601727,20240925,1.1332,1.9278,False,10.86,False
sh605277,20250625,3.1576,18.8155,False,49.05,True
sh688499,20251124,2.0828,109.1353,False,14.29,False
sh688303,20250630,-1.3992,-268.7818,False,20.68,True
sh688079,20260113,-6.1349,-26.8917,False,6.59,False
sh600338,20240926,3.8413,104.3388,False,7.27,False
sh000857,20240927,,,False,4.39,False
sh600871,20240731,5.3956,38.6319,False,2.17,False
sh600796,20240927,2.5977,-2.6243,False,3.81,False
sh603466,20250626,1.8046,368.2468,False,7.27,False
sh603162,20250702,2.0967,-64.1425,False,-1.49,False
sh600292,20240924,1.0122,-4.1691,False,107.06,True
sh600546,20240930,8.2016,-58.1077,False,-6.63,False
sh600315,20240930,3.0815,-20.9287,False,-9.53,False
sh900929,20240926,,,False,7.11,False
sh688533,20250812,5.2761,-23.957,False,2.8,False
sh600995,20240815,2.9808,-9.584,False,-5.34,False
