breakthrough_date,breakthrough_price,final_gain,is_premium,ma_proximity,multi_ma_bullish,new_high,success,ts_code,volume_surge
20260105,35.19,-8.53,False,False,False,True,False,sh603382,True
20250703,65.99,-3.68,False,False,False,True,False,sh688333,True
20240926,3.42,-3.51,False,False,False,True,False,sh600515,False
20240731,13.44,-6.4,False,True,False,False,False,sh600346,False
20240930,12.97,-11.72,False,False,False,True,False,sh601717,True
20260324,26.24,9.49,False,False,False,False,False,sh688350,False
20250811,18.22,4.83,False,False,False,False,False,sh688299,False
20240930,88.81,-0.05,False,False,False,True,False,sh601127,True
20240926,6.15,6.34,False,False,False,True,False,sh600325,True
20250624,27.04,0.92,False,False,False,True,False,sh688819,True
20240731,22.99,0.13,False,True,False,False,False,sh600196,False
20241008,21.47,-8.85,False,False,False,True,False,sh603960,True
20240807,5.04,3.17,False,True,False,False,False,sh601169,False
20250702,1.77,1.69,False,False,False,True,False,sh601588,False
20240830,0.27,-0.37,False,False,False,True,False,sh900957,False
20240926,3.87,1.81,False,False,False,True,False,sh600738,False
20240930,15.28,-2.36,False,False,False,True,False,sh603029,True
20260105,3.5,-1.43,False,False,False,False,False,sh601326,False
20240930,2.7,-9.26,False,False,False,True,False,sh600396,True
20240920,9.63,7.06,False,False,False,True,False,sh600776,True
20250624,54.16,3.62,False,True,True,False,False,sh603486,False
20240814,32.38,0.09,False,False,False,True,False,sh600211,True
20240927,3.66,6.56,False,False,False,True,False,sh601789,True
20250624,14.98,-2.34,False,False,False,False,False,sh688207,True
20251013,14.03,6.2,False,True,False,True,False,sh603836,False
20240927,1841.66,2.18,False,False,False,True,False,sh000160,False
20240930,5.48,-4.56,False,False,False,True,False,sh603330,True
20240819,6.66,-7.66,False,False,False,True,False,sh600421,True
20250725,28.48,-0.7,False,False,False,True,False,sh688380,True
20241107,6.98,-5.87,False,False,False,True,False,sh600975,False
20240926,2.54,2.75,False,False,False,True,False,sh600108,True
20250722,21.8,-0.18,False,False,False,True,False,sh688249,True
20240918,5.33,9.38,False,False,False,False,False,sh600692,False
20240927,10.91,0.46,False,False,False,True,False,sh603587,False
20240925,2.74,11.68,False,False,False,True,False,sh600816,True
20251020,23.99,3.04,False,False,False,False,False,sh688199,False
20250723,48.8,31.45,False,False,False,True,True,sh688603,True
20251103,8.08,-0.5,False,False,False,False,False,sh601921,False
20240926,4.34,-1.61,False,False,False,True,False,sh600858,True
20240821,3.54,-10.45,False,False,False,False,False,sh600676,False
20251216,6.14,-3.42,False,False,False,False,False,sh600874,True
20250721,39.64,1.56,False,False,False,False,False,sh603082,False
20240927,11.96,5.35,False,False,False,True,False,sh600372,False
20240927,48.44,-12.8,False,False,False,True,False,sh603979,False
20240802,8.75,-13.14,False,False,False,True,False,sh600615,True
20250702,8.35,0.48,False,False,False,True,False,sh603105,True
20240731,15.94,-12.42,False,True,False,False,False,sh600875,False
20251215,18.68,-2.3,False,False,False,False,False,sh603231,False
20250806,69.49,3.83,False,False,False,True,False,sh603662,True
20240731,9.3,-10.22,False,False,False,True,False,sh600592,True
20250624,5.72,5.59,False,True,False,False,False,sh600173,False
20240924,1.9,38.95,False,False,False,False,True,sh600208,False
20250717,14.01,-5.07,False,False,False,True,False,sh603305,True
20240927,6.94,2.59,False,False,False,True,False,sh600888,True
20250725,28.84,2.64,False,False,False,True,False,sh688107,False
20240926,7.15,9.23,False,False,False,True,False,sh600246,True
20240801,13.98,-8.58,False,False,False,False,False,sh603663,False
20240730,6.19,7.92,False,False,False,False,False,sh600721,False
20240925,1.88,11.17,False,False,False,True,False,sh603030,True
20240927,2.3,3.91,False,False,False,True,False,sh600172,False
20251014,5.7,6.49,False,False,False,False,False,sh601658,False
20240927,3454.09,14.39,False,False,False,True,False,sh000137,False
20250826,56.77,10.22,False,False,False,True,False,sh603786,True
20240920,12.98,11.17,False,False,False,True,False,sh600476,True
20250924,21.39,4.72,False,False,False,False,False,sh688737,False
20250624,4.52,1.55,False,True,False,False,False,sh601068,True
20240926,10.03,13.26,False,False,False,True,False,sh603600,True
20240927,18.72,2.94,False,False,False,True,False,sh600111,True
20240927,20.76,-1.59,False,False,False,True,False,sh600438,False
20251020,11.2,2.23,False,False,False,False,False,sh603535,False
20250624,17.72,0.28,False,True,False,False,False,sh688584,False
20241021,8.36,8.37,False,False,False,False,False,sh603018,False
20250627,26.15,2.1,False,False,False,True,False,sh603530,True
20251229,4.68,-5.77,False,False,False,False,False,sh603363,False
20250916,22.08,-12.45,False,False,False,False,False,sh603057,False
20250911,3.97,-3.53,False,False,False,False,False,sh600968,False
20240801,13.35,3.37,False,False,False,False,False,sh601811,False
20250625,26.14,-0.77,False,True,False,False,False,sh688161,False
20260105,24.91,4.26,False,False,False,False,False,sh688236,True
20240731,6.49,6.01,False,True,False,False,False,sh600177,False
20240731,3.66,-3.17,False,False,False,True,False,sh601375,True
20240926,3.71,-1.35,False,False,False,True,False,sh600724,True
20240927,1569.08,1.48,False,False,False,True,False,sh000151,False
20240927,3.2,7.81,False,False,False,True,False,sh601188,False
20250709,24.34,-1.85,False,False,False,True,False,sh603629,True
20250717,76.66,19.14,False,False,False,True,False,sh688278,False
20240930,17.4,-5.06,False,False,False,True,False,sh603806,True
20240930,14.62,-4.72,False,False,False,True,False,sh603628,True
20240816,7.74,-7.23,False,False,False,False,False,sh601872,False
20250627,15.77,4.6,False,True,False,False,False,sh688085,False
20240926,17.76,1.46,False,False,False,True,False,sh603286,True
20240927,23.27,6.83,False,False,False,True,False,sh601595,False
20240927,4.07,2.7,False,False,False,True,False,sh603086,False
20240920,4.91,12.42,False,False,False,True,False,sh600797,False
20240927,5004.2,9.68,False,False,False,True,False,sh000856,False
20251209,54.28,-3.41,False,False,False,True,False,sh688302,True
20260226,55.0,-11.45,False,False,False,False,False,sh688665,False
20250625,15.87,2.77,False,True,False,True,False,sh603933,False
20250624,36.18,-4.59,False,False,False,False,False,sh603583,False
20250804,15.55,20.9,False,False,False,True,True,sh603219,True
20250716,25.81,-10.19,False,False,False,True,False,sh603950,True
20250624,3.65,0.0,False,True,False,True,False,sh688055,False
20240731,0.53,-0.19,False,True,False,True,False,sh900928,True
20240808,8.27,-14.03,False,False,False,True,False,sh601116,True
20251201,59.63,-3.42,False,False,False,False,False,sh603257,False
20240815,4.92,-6.3,False,True,False,True,False,sh601158,False
20240807,7.61,2.5,False,False,False,False,False,sh600642,False
20250320,6.66,2.55,False,False,False,True,False,sh600011,False
20250630,41.39,8.87,False,False,False,True,False,sh688503,False
20240906,5.28,-2.65,False,False,False,True,False,sh600576,True
20251114,42.92,-4.17,False,False,False,False,False,sh688484,False
20240926,8.36,4.07,False,False,False,False,False,sh600822,False
20240930,2590.19,-6.77,False,False,False,True,False,sh000079,True
20240806,7.54,-7.96,False,False,False,True,False,sh603229,False
20241018,4.06,17.0,False,False,False,False,False,sh600538,True
20250624,29.22,2.45,False,True,False,False,False,sh603205,False
20240909,4.22,-6.64,False,False,False,True,False,sh600841,True
20241008,7.0,-7.71,False,False,False,True,False,sh603903,True
20240926,3.38,4.14,False,False,False,True,False,sh600308,True
20251015,38.43,1.38,False,False,False,False,False,sh688180,False
20240830,1.4,-6.3,False,False,False,False,False,sh900934,False
20240731,31.44,-9.16,False,False,False,True,False,sh603383,True
20251201,54.83,-6.88,False,False,False,False,False,sh688049,False
20250924,14.15,0.71,False,False,False,False,False,sh688560,False
20240731,13.48,-2.8,False,False,False,True,False,sh600621,True
20250707,15.75,2.41,False,False,False,False,False,sh600989,False
20250902,9.03,-2.32,False,True,False,False,False,sh601939,False
20250729,15.72,4.71,False,False,False,True,False,sh688007,True
20241025,2.85,34.39,False,False,False,True,True,sh603879,True
20240905,1.64,-3.12,False,False,False,True,False,sh600715,False
20240904,10.09,4.16,False,False,False,False,False,sh600272,True
20260306,16.02,-13.17,False,False,False,False,False,sh603182,False
20250624,22.31,10.89,False,True,False,False,False,sh688133,False
20240927,7.61,4.73,False,False,False,True,False,sh601369,False
20250924,19.25,-0.26,False,False,False,False,False,sh688479,False
20250114,9.66,-1.45,False,False,False,False,False,sh600958,False
20240930,6.11,-5.73,False,False,False,True,False,sh600125,True
20240927,8.14,-0.7,False,False,False,True,False,sh603067,False
20250929,24.9,1.04,False,False,False,False,False,sh688150,False
20250725,75.0,-5.76,False,False,False,True,False,sh688099,False
20240927,19.77,-8.56,False,False,False,True,False,sh603505,False
20240731,2.9,-2.07,False,True,False,False,False,sh601016,False
20250708,11.26,2.13,False,False,False,True,False,sh688432,False
20240926,5.9,5.59,False,False,False,True,False,sh603318,True
20240924,13.66,1.17,False,False,False,True,False,sh601058,False
20251218,17.25,3.3,False,False,False,False,False,sh688681,False
20240927,5.33,3.0,False,False,False,True,False,sh600409,False
20250710,8.64,2.31,False,False,False,True,False,sh603357,False
20251128,25.63,-3.04,False,False,False,False,False,sh688178,False
20240830,5.12,-12.11,False,False,True,False,False,sh601668,False
20240930,11.05,-8.33,False,False,False,True,False,sh600970,True
20240808,10.5,-9.14,False,False,False,True,False,sh600697,True
20240731,7.66,-3.26,False,True,False,False,False,sh600710,False
20250624,24.74,3.56,False,False,False,False,False,sh688598,True
20240815,6.79,7.36,False,False,False,False,False,sh600143,False
20260107,65.49,-3.11,False,False,False,True,False,sh688202,True
20260323,31.11,-5.43,False,False,False,True,False,sh603529,True
20250711,35.0,5.91,False,False,False,True,False,sh688651,False
20240926,4.33,3.23,False,False,False,True,False,sh600510,True
20240919,8.26,15.25,False,False,False,True,False,sh600343,True
20240730,6.0,-6.83,False,True,False,False,False,sh603766,True
20251125,10.27,2.34,False,False,False,False,False,sh688565,False
20250815,18.95,-0.84,False,False,False,False,False,sh603949,False
20250630,59.63,3.69,False,True,False,False,False,sh688185,False
20240930,6.58,13.78,False,False,False,True,False,sh600039,True
20240927,2.55,-3.14,False,False,False,True,False,sh600844,False
20240927,8.22,29.32,False,False,False,True,True,sh603906,False
20240927,44.08,5.22,False,False,False,True,False,sh603728,False
