added_count,avg_cost,entry_date,entry_price,exit_reason,exited,final_gain,highest_price,last_price,shares,ts_code
0,6.62,20250829,6.62,死叉减半,False,1.21,6.9,6.7,50,sh600289
1,13.02,20251201,12.31,观察期末,False,0.0,14.12,13.02,200,sh603967
3,28.45,20250717,24.58,观察期末,False,-9.79,32.42,25.66,400,sh600345
3,31.69,20250717,27.04,观察期末,False,-3.47,36.95,30.59,400,sh688283
1,50.83,20260120,48.38,死叉减半,False,-2.64,57.88,49.49,100,sh603737
1,19.58,20250411,18.42,死叉减半,False,-6.1,20.73,18.38,100,sh603078
0,21.39,20250716,21.39,死叉减半,False,-13.74,22.58,18.45,50,sh603533
1,7.24,20250430,6.73,死叉减半,False,-1.06,7.49,7.16,150,sh600359
3,22.5,20250911,18.62,死叉减半,False,13.57,25.55,25.55,300,sh603698
1,2.66,20260407,2.5,观察期末,False,1.32,2.81,2.69,200,sh600527
10,10.28,20250430,6.61,死叉减半,False,-6.38,13.76,9.62,550,sh603900
0,3.23,20251124,3.23,死叉减半,False,-10.53,3.23,2.89,50,sh600622
3,10.41,20250409,8.56,死叉减半,False,-2.46,11.29,10.15,350,sh601890
0,5.36,20260325,5.36,死叉减半,False,-9.14,5.36,4.87,50,sh600168
0,4.15,20260407,4.15,观察期末,False,-7.95,4.15,3.82,100,sh600758
2,39.25,20260305,34.55,死叉减半,False,11.71,44.5,43.85,250,sh688001
1,8.8,20251124,8.36,死叉减半,False,-9.14,9.25,8.0,100,sh601238
0,14.58,20260324,14.58,死叉减半,False,4.12,15.25,15.18,50,sh603070
0,8.15,20260203,8.15,死叉减半,False,-15.95,8.46,6.85,50,sh600651
1,7.93,20260407,7.4,观察期末,False,0.13,8.46,7.94,200,sh601999
0,18.5,20250908,18.5,死叉减半,False,-14.59,18.71,15.8,50,sh600055
0,11.5,20260324,11.5,观察期末,False,2.17,12.39,11.75,100,sh603291
0,8.54,20260324,8.54,死叉减半,False,-5.74,8.89,8.05,50,sh601200
0,10.91,20260129,10.91,死叉减半,False,-12.83,11.32,9.51,50,sh600706
0,14.97,20250915,14.97,死叉减半,False,-1.0,15.06,14.82,50,sh600598
3,6.54,20250411,5.5,死叉减半,False,-10.06,7.33,5.88,200,sh600249
1,26.94,20250801,25.51,观察期末,False,1.8,30.56,27.43,200,sh603344
4,13.75,20240823,10.97,观察期末,False,-12.95,15.7,11.97,500,sh601878
3,7.02,20251105,5.95,死叉减半,False,13.89,8.02,8.0,350,sh603012
0,6975.51,20240905,6975.51,死叉减半,False,6.45,7619.04,7425.25,50,sh000138
0,3.0,20260325,3.0,死叉减半,False,-6.67,3.01,2.8,50,sh601518
0,9.44,20260305,9.44,死叉减半,False,-13.45,9.92,8.17,50,sh688096
2,7.65,20240910,6.81,死叉减半,False,10.66,8.47,8.47,250,sh600919
2,16.84,20250117,15.1,死叉减半,False,-22.88,19.34,12.99,150,sh601231
1,12.5,20260324,11.85,观察期末,False,1.56,13.2,12.7,200,sh601083
1,58.45,20250905,55.66,死叉减半,False,-4.77,65.79,55.66,100,sh603416
0,4674.76,20260310,4674.76,死叉减半,False,1.15,4736.61,4728.67,50,sh000300
0,7.51,20251020,7.51,死叉减半,False,-1.86,8.12,7.37,50,sh600006
1,9.14,20251128,8.57,死叉减半,False,-8.02,9.59,8.41,150,sh600636
2,5.41,20260325,4.78,观察期末,False,8.87,5.95,5.89,300,sh600502
0,4.28,20250926,4.28,死叉减半,False,-3.97,4.38,4.11,50,sh600905
0,8.73,20260306,8.73,死叉减半,False,-8.71,8.84,7.97,50,sh600883
0,73.56,20260130,73.56,死叉减半,False,6.05,78.31,78.01,50,sh688215
0,7.18,20250904,7.18,死叉减半,False,-6.27,7.53,6.73,50,sh600778
1,62.78,20251218,59.35,死叉减半,False,-18.23,70.55,51.33,100,sh688439
2,23.16,20251222,20.41,死叉减半,False,-14.0,26.35,19.92,250,sh688209
0,9.03,20250604,9.03,死叉减半,False,1.15,9.52,9.13,50,sh600461
0,50.93,20260324,50.93,死叉减半,False,-1.75,52.93,50.04,50,sh688297
0,2.77,20251128,2.77,死叉减半,False,-8.66,2.82,2.53,50,sh600533
0,14.97,20260324,14.97,死叉减半,False,4.21,15.6,15.6,50,sh603316
1,6.48,20250430,6.05,死叉减半,False,0.21,6.69,6.49,150,sh600354
2,14.68,20250624,13.31,观察期末,False,-1.2,16.0,14.5,300,sh600633
0,3.99,20251104,3.99,死叉减半,False,-5.26,4.14,3.78,50,sh600928
6,19.64,20250707,14.77,观察期末,False,7.92,23.96,21.2,700,sh600962
0,35.66,20250227,35.66,死叉减半,False,5.3,37.55,37.55,50,sh600298
0,21.08,20250930,21.08,死叉减半,False,-12.14,21.54,18.52,50,sh600079
0,12.8,20250724,12.8,死叉减半,False,-4.61,13.22,12.21,50,sh603768
4,9.66,20250410,7.94,观察期末,False,4.29,11.5,10.07,500,sh603811
3,7.58,20251222,6.48,再跌10%清仓,True,-17.73,8.72,6.24,100,sh600755
1,18.7,20251224,17.72,死叉减半,False,-13.87,19.69,16.11,100,sh603112
0,149.59,20250916,149.59,死叉减半,False,-4.95,162.42,142.19,50,sh688047
0,5.73,20260325,5.73,死叉减半,False,-6.11,5.73,5.38,50,sh688009
0,3.42,20241227,3.42,死叉减半,False,-17.25,3.42,2.83,50,sh601333
1,3247.72,20250529,3090.87,观察期末,False,8.64,3528.4,3528.4,200,sh000159
1,10.84,20251201,10.18,观察期末,False,10.0,11.93,11.93,200,sh603577
0,80.03,20260310,80.03,死叉减半,False,-9.93,80.03,72.08,50,sh688789
0,41.49,20260105,41.49,死叉减半,False,-10.22,42.24,37.25,50,sh603014
2,43.14,20250801,38.59,死叉减半,False,0.16,46.84,43.21,150,sh605286
0,5.82,20260408,5.82,观察期末,False,6.36,6.19,6.19,100,sh601002
0,2.95,20251126,2.95,死叉减半,False,-12.88,3.01,2.57,50,sh600252
0,22.06,20260310,22.06,死叉减半,False,-8.61,22.25,20.16,50,sh600031
1,11.04,20250221,10.35,死叉减半,False,2.51,11.44,11.32,150,sh601928
0,13.54,20260202,13.54,死叉减半,False,-27.47,13.89,9.82,50,sh603697
0,40.57,20251015,40.57,死叉减半,False,-3.93,40.57,38.98,50,sh603197
1,12.47,20260401,11.68,死叉减半,False,3.56,12.91,12.91,150,sh603010
2,9.44,20240826,8.34,观察期末,False,3.78,10.12,9.8,300,sh600352
1,65.4,20250905,61.4,死叉减半,False,-14.29,69.39,56.05,100,sh600363
0,3.44,20260310,3.44,死叉减半,False,-14.53,3.44,2.94,50,sh600807
3,19.88,20260130,17.03,观察期末,False,10.99,23.34,22.06,400,sh603042
1,2.88,20260324,2.71,观察期末,False,-5.72,3.06,2.72,200,sh601866
2,6.0,20251128,5.39,死叉减半,False,4.67,6.58,6.28,150,sh600163
5,58.59,20250721,43.73,死叉减半,False,-7.64,68.86,54.12,550,sh688116
1,10.17,20250603,9.65,观察期末,False,6.78,11.56,10.86,200,sh600128
0,12.05,20250325,12.05,死叉减半,False,-12.03,12.13,10.6,50,sh601233
2,9.51,20250408,8.46,观察期末,False,13.1,10.75,10.75,300,sh600267
5,73.34,20250707,57.16,观察期末,False,8.99,88.0,79.93,600,sh603822
0,64.7,20260310,64.7,死叉减半,False,-11.05,64.7,57.55,50,sh688788
7,11.5,20250421,8.31,观察期末,False,21.0,14.8,13.92,800,sh600353
0,6121.5,20250303,6121.5,死叉减半,False,1.61,6639.66,6220.29,50,sh000811
0,14.61,20260324,14.61,死叉减半,False,-11.57,15.3,12.92,50,sh600505
0,29.85,20251106,29.85,死叉减半,False,-3.18,31.72,28.9,50,sh603393
0,30.17,20260306,30.17,死叉减半,False,-7.95,30.96,27.77,50,sh688217
0,29.13,20260327,29.13,死叉减半,False,-4.43,29.13,27.84,50,sh605028
3,18.15,20251126,15.35,观察期末,False,11.25,21.25,20.19,400,sh600955
0,18.61,20250218,18.61,死叉减半,False,-5.37,19.06,17.61,50,sh600803
1,8.29,20251128,7.69,死叉减半,False,-9.89,9.11,7.47,100,sh600628
1,9.88,20250805,9.13,死叉减半,False,-5.61,10.87,9.33,100,sh600865
1,6.54,20251029,5.82,死叉减半,False,5.5,6.9,6.9,150,sh688223
0,4.88,20251219,4.88,死叉减半,False,-5.53,5.2,4.61,50,sh603797
0,10.53,20250904,10.53,死叉减半,False,-7.6,10.91,9.73,50,sh600153
1,6.0,20260212,5.67,死叉减半,False,-12.41,6.34,5.26,100,sh600960
0,6.46,20250805,6.46,死叉减半,False,-11.15,6.47,5.74,50,sh601006
1,15.09,20260206,14.37,死叉减半,False,-2.58,15.81,14.7,100,sh600884
0,5.36,20251128,5.36,死叉减半,False,-4.48,5.43,5.12,50,sh600854
3,90.73,20260324,76.99,观察期末,False,6.73,100.5,96.84,400,sh688359
0,59.46,20260309,59.46,死叉减半,False,-14.45,60.8,50.87,50,sh688023
