ts_code,breakthrough_date,roe,netprofit_yoy,final_gain,success
sh601811,20240801,,,3.37,False
sh688161,20250625,,,-0.77,False
sh688236,20260105,,,4.26,False
sh600177,20240731,,,6.01,False
sh601375,20240731,,,-3.17,False
sh600724,20240926,,,-1.35,False
sh000151,20240927,,,1.48,False
sh601188,20240927,,,7.81,False
sh603629,20250709,,,-1.85,False
sh688278,20250717,,,19.14,False
sh603806,20240930,,,-5.06,False
sh603628,20240930,,,-4.72,False
sh601872,20240816,,,-7.23,False
sh688085,20250627,,,4.6,False
sh603286,20240926,,,1.46,False
sh601595,20240927,,,6.83,False
sh603086,20240927,,,2.7,False
sh600797,20240920,,,12.42,False
sh000856,20240927,,,9.68,False
sh688302,20251209,,,-3.41,False
sh688665,20260226,,,-11.45,False
sh603933,20250625,,,2.77,False
sh603583,20250624,,,-4.59,False
sh603219,20250804,,,20.9,True
sh603950,20250716,,,-10.19,False
sh688055,20250624,,,0.0,False
sh900928,20240731,,,-0.19,False
sh601116,20240808,,,-14.03,False
sh603257,20251201,,,-3.42,False
sh601158,20240815,,,-6.3,False
sh600642,20240807,,,2.5,False
sh600011,20250320,,,2.55,False
sh688503,20250630,,,8.87,False
sh600576,20240906,,,-2.65,False
sh688484,20251114,,,-4.17,False
sh600822,20240926,,,4.07,False
sh000079,20240930,,,-6.77,False
sh603229,20240806,,,-7.96,False
sh600538,20241018,,,17.0,False
sh603205,20250624,,,2.45,False
sh600841,20240909,,,-6.64,False
sh603903,20241008,,,-7.71,False
sh600308,20240926,,,4.14,False
sh688180,20251015,,,1.38,False
sh900934,20240830,,,-6.3,False
sh603383,20240731,,,-9.16,False
sh688049,20251201,,,-6.88,False
sh688560,20250924,,,0.71,False
sh600621,20240731,,,-2.8,False
sh600989,20250707,,,2.41,False
sh601939,20250902,,,-2.32,False
sh688007,20250729,,,4.71,False
sh603879,20241025,,,34.39,True
sh600715,20240905,,,-3.12,False
sh600272,20240904,,,4.16,False
sh603182,20260306,,,-13.17,False
sh688133,20250624,,,10.89,False
sh601369,20240927,,,4.73,False
sh688479,20250924,,,-0.26,False
sh600958,20250114,,,-1.45,False
sh600125,20240930,,,-5.73,False
sh603067,20240927,,,-0.7,False
sh688150,20250929,,,1.04,False
sh688099,20250725,,,-5.76,False
sh603505,20240927,,,-8.56,False
sh601016,20240731,,,-2.07,False
sh688432,20250708,,,2.13,False
sh603318,20240926,,,5.59,False
sh601058,20240924,,,1.17,False
sh688681,20251218,,,3.3,False
sh600409,20240927,,,3.0,False
sh603357,20250710,,,2.31,False
sh688178,20251128,,,-3.04,False
sh601668,20240830,,,-12.11,False
sh600970,20240930,,,-8.33,False
sh600697,20240808,,,-9.14,False
sh600710,20240731,,,-3.26,False
sh688598,20250624,,,3.56,False
sh600143,20240815,,,7.36,False
sh688202,20260107,,,-3.11,False
sh603529,20260323,,,-5.43,False
sh688651,20250711,,,5.91,False
sh600510,20240926,,,3.23,False
sh600343,20240919,,,15.25,False
sh603766,20240730,,,-6.83,False
sh688565,20251125,,,2.34,False
sh603949,20250815,,,-0.84,False
sh688185,20250630,,,3.69,False
sh600039,20240930,,,13.78,False
sh600844,20240927,,,-3.14,False
sh603906,20240927,,,29.32,True
sh603728,20240927,,,5.22,False
sh900952,20250117,,,-12.5,False
sh600193,20241101,,,1.42,False
sh600609,20240730,,,-9.0,False
sh600320,20240926,,,3.89,False
sh688061,20260108,,,9.07,False
sh688355,20250625,,,1.2,False
sh600869,20240816,,,-1.06,False
sh600387,20240930,,,-6.1,False
sh600596,20240927,,,-1.01,False
sh603666,20250716,,,-5.03,False
sh688699,20250724,,,16.97,False
sh605077,20251110,,,-8.79,False
sh688103,20251105,,,-5.07,False
sh603980,20240927,,,5.82,False
sh600176,20240801,,,-5.21,False
sh603667,20240930,,,-1.57,False
sh600725,20240930,,,9.89,False
sh688733,20250624,,,0.31,False
sh601997,20240926,,,11.53,False
sh000133,20240927,,,12.23,False
sh600115,20240927,,,-8.12,False
sh600746,20240926,,,5.91,False
sh603056,20260114,,,22.09,True
sh688580,20251021,,,8.2,False
sh601022,20260126,,,-2.76,False
sh600508,20240927,,,-1.23,False
sh600812,20240731,,,4.47,False
sh603899,20240927,,,-7.21,False
sh601117,20240806,,,-3.92,False
sh600021,20240807,,,-6.06,False
sh688360,20251024,,,0.71,False
sh600376,20240920,,,11.44,False
sh600525,20240904,,,3.97,False
sh688550,20251212,,,-3.03,False
sh600611,20241218,,,-16.6,False
sh603100,20240927,,,2.68,False
sh900904,20240926,,,6.38,False
sh603429,20240930,,,5.8,False
sh603235,20250908,,,-2.53,False
sh603936,20240731,,,-8.81,False
sh600009,20240927,,,-2.56,False
sh603718,20240930,,,-15.33,False
sh600793,20240926,,,6.52,False
sh688348,20250721,,,2.2,False
sh603757,20251124,,,4.24,False
sh000852,20240927,,,11.93,False
sh688306,20250722,,,-1.07,False
sh688032,20250708,,,-1.55,False
sh600520,20240830,,,-7.32,False
sh000061,20250326,,,0.57,False
sh688536,20250723,,,8.49,False
sh600990,20240731,,,-10.46,False
sh603166,20240927,,,1.79,False
sh600310,20240926,,,10.31,False
sh688051,20251222,,,1.33,False
sh601688,20240906,,,6.98,False
sh603400,20260120,,,-3.26,False
sh688578,20251215,,,5.49,False
sh603955,20241008,,,0.43,False
sh603128,20240927,,,-2.5,False
sh600639,20240925,,,12.75,False
sh600025,20250821,,,0.22,False
sh600097,20240930,,,-4.24,False
sh603367,20251031,,,1.93,False
sh603329,20250916,,,-4.95,False
sh688251,20260206,,,10.7,False
sh603601,20240927,,,4.79,False
sh600743,20240920,,,12.5,False
sh600110,20240930,,,-6.82,False
sh605011,20250701,,,-0.26,False
sh688165,20250819,,,4.61,False
sh603031,20240930,,,3.11,False
sh603283,20250801,,,12.91,False
sh688232,20260112,,,-5.58,False
sh688106,20250624,,,-1.58,False
sh601616,20240801,,,-0.36,False
sh000155,20240926,,,5.67,False
sh603557,20251113,,,-12.28,False
sh000966,20240927,,,4.68,False
sh600711,20240930,,,7.65,False
sh605377,20250728,,,-1.19,False
sh603000,20240927,,,0.98,False
sh688137,20260113,,,-0.2,False
sh600276,20240806,,,-1.55,False
sh603567,20240806,,,-3.16,False
sh603833,20240927,,,-2.46,False
sh603335,20251219,,,-2.09,False
sh600238,20240927,,,-7.17,False
sh603999,20240924,,,9.02,False
sh000934,20240731,,,-2.58,False
sh000149,20240816,,,-1.77,False
sh603319,20240927,,,15.13,False
sh600408,20240927,,,1.7,False
sh603062,20260121,,,1.39,False
sh600392,20240927,,,3.68,False
sh688260,20260105,,,11.02,False
sh601825,20250902,,,-5.99,False
sh688433,20250625,,,8.37,False
sh603630,20240930,,,-4.23,False
sh600121,20240927,,,6.19,False
sh000107,20240927,,,1.31,False
sh600446,20240924,,,21.63,True
sh688707,20251020,,,1.79,False
sh600015,20240816,,,-4.83,False
sh600868,20240926,,,7.81,False
sh603682,20250625,,,6.83,False
sh600572,20240930,,,-7.33,False
sh688633,20250708,,,4.75,False
sh600826,20240906,,,-2.18,False
sh603201,20250624,,,3.51,False
sh600496,20240926,,,2.72,False
sh688337,20250701,,,-9.59,False
sh605177,20250625,,,5.5,False
sh000828,20240926,,,13.2,False
sh603885,20240927,,,-2.68,False
sh688332,20250819,,,3.36,False
sh600073,20240830,,,-1.68,False
sh600309,20240926,,,-5.25,False
sh688181,20250624,,,1.88,False
sh688048,20250624,,,6.75,False
sh603130,20251113,,,7.9,False
sh605208,20260121,,,-4.89,False
sh603700,20250929,,,0.75,False
sh601168,20240927,,,-2.79,False
sh600539,20240925,,,11.08,False
sh603267,20250905,,,9.54,False
sh600197,20240930,,,-12.61,False
sh603686,20240930,,,-3.54,False
sh688065,20250624,,,-2.16,False
sh605111,20250729,,,3.26,False
sh900918,20240730,,,-1.14,False
sh603701,20240816,,,-1.84,False
sh600643,20240919,,,34.88,True
sh601212,20240926,,,4.8,False
sh688298,20250630,,,2.71,False
sh688502,20250711,,,25.36,True
sh600916,20250701,,,-0.49,False
sh601788,20240924,,,12.45,False
sh688151,20251010,,,0.18,False
sh688702,20250725,,,-6.18,False
sh601012,20240927,,,3.07,False
sh603501,20240927,,,12.54,False
sh600210,20240925,,,6.67,False
sh603066,20240926,,,3.16,False
sh600397,20240924,,,8.29,False
sh688685,20250624,,,-2.51,False
sh603028,20240925,,,0.64,False
sh603855,20241008,,,-5.19,False
sh600739,20240925,,,22.1,True
sh688478,20250624,,,3.13,False
sh605296,20250904,,,2.05,False
sh000952,20240926,,,8.78,False
sh603004,20250624,,,2.9,False
sh600693,20240926,,,0.99,False
sh600109,20240925,,,14.99,False
sh600420,20240926,,,2.42,False
sh000161,20240927,,,6.39,False
sh688455,20251020,,,9.33,False
sh688206,20251126,,,4.86,False
sh600714,20240927,,,4.42,False
sh603656,20240930,,,13.97,False
sh601226,20240927,,,-0.19,False
sh600859,20240731,,,-6.96,False
sh688365,20251103,,,-8.6,False
sh688602,20250924,,,-2.36,False
sh603129,20251119,,,6.67,False
sh688198,20250729,,,9.02,False
sh600543,20240830,,,6.33,False
sh600817,20240924,,,14.41,False
sh603586,20240821,,,-12.06,False
sh603230,20251112,,,-1.71,False
sh688281,20250627,,,-0.9,False
sh900901,20240926,,,17.2,False
sh605108,20250820,,,-0.63,False
sh600373,20240926,,,3.56,False
sh603083,20260302,,,4.52,False
sh688661,20251208,,,12.42,False
sh603719,20250710,,,-6.56,False
sh603937,20251218,,,4.79,False
sh603985,20241008,,,-12.61,False
sh600720,20240927,,,3.99,False
sh603556,20240731,,,-1.56,False
sh600941,20250808,,,-0.42,False
sh600889,20240730,,,18.37,False
sh603518,20241008,,,-8.88,False
sh688081,20250625,,,0.69,False
sh688148,20260316,,,-11.82,False
sh600593,20240930,,,-6.02,False
sh603861,20240926,,,2.52,False
sh688585,20260305,,,8.85,False
sh603053,20250624,,,2.4,False
sh600439,20240913,,,18.83,False
sh603328,20240816,,,8.69,False
sh688398,20260121,,,15.04,False
sh603860,20250905,,,-1.58,False
sh601992,20240926,,,3.21,False
sh600477,20240926,,,2.55,False
sh603366,20240926,,,1.25,False
sh000136,20240930,,,-3.87,False
sh600221,20240930,,,-12.4,False
sh600927,20251021,,,4.86,False
sh688160,20250714,,,3.95,False
sh603605,20250724,,,-2.78,False
sh688449,20250730,,,5.72,False
sh600708,20240920,,,17.37,False
sh600926,20240924,,,12.8,False
sh603019,20240731,,,-10.98,False
sh603848,20250624,,,3.23,False
sh688084,20250911,,,8.46,False
sh600138,20240927,,,-2.28,False
sh688279,20250818,,,-5.47,False
sh688750,20250626,,,0.48,False
sh601568,20251107,,,-4.87,False
sh603300,20240930,,,-9.32,False
sh000150,20240927,,,1.37,False
sh688237,20260209,,,-4.17,False
sh688037,20260324,,,13.14,False
sh000819,20240927,,,1.46,False
sh601727,20240925,,,10.86,False
sh605277,20250625,,,49.05,True
sh688499,20251124,,,14.29,False
sh688303,20250630,,,20.68,True
sh688079,20260113,,,6.59,False
sh600338,20240926,,,7.27,False
sh000857,20240927,,,4.39,False
sh600871,20240731,,,2.17,False
sh600796,20240927,,,3.81,False
sh603466,20250626,,,7.27,False
sh603162,20250702,,,-1.49,False
sh600292,20240924,,,107.06,True
sh600546,20240930,,,-6.63,False
sh600315,20240930,,,-9.53,False
sh900929,20240926,,,7.11,False
sh688533,20250812,,,2.8,False
sh600995,20240815,,,-5.34,False
sh603228,20240809,,,-1.22,False
sh603153,20250711,,,1.48,False
sh688678,20250728,,,13.13,False
sh601126,20240822,,,-1.36,False
sh600577,20240924,,,24.31,True
sh603266,20240930,,,1.23,False
sh688636,20251023,,,7.43,False
sh688351,20250625,,,-1.36,False
sh600010,20240926,,,3.95,False
sh688006,20251217,,,4.27,False
