breakthrough_date,breakthrough_price,final_gain,max_drawdown,max_gain,success,ts_code
20240927,13.45,-1.41,2.82,16.28,False,sh603035
20240902,3.42,34.5,2.92,34.5,True,sh600243
20250716,52.13,5.6,0.52,9.46,False,sh688698
20240920,4.32,28.68,1.39,30.53,True,sh600410
20240927,8.5,-2.82,5.53,7.76,False,sh600597
20250716,30.15,57.88,1.43,57.88,True,sh688448
20250624,61.81,17.79,0.11,17.79,False,sh688581
20250805,35.75,-0.08,5.73,7.64,False,sh688255
20240807,5.85,-12.99,14.19,0.0,False,sh600969
20240806,13.92,17.46,2.3,17.46,False,sh600114
20240930,5307.28,-1.25,7.46,6.91,False,sh000132
20240927,1.92,34.38,1.04,49.48,True,sh601996
20250701,86.6,6.81,9.93,6.81,False,sh688361
20240912,3.51,9.12,3.42,17.95,False,sh600020
20240930,7.92,1.77,5.68,3.54,False,sh600673
20240731,5.89,9.68,2.21,9.68,False,sh601222
20240930,28.89,-9.83,11.8,0.0,False,sh600547
20240926,4731.33,11.96,0.0,15.6,False,sh000006
20250630,66.21,8.08,2.05,10.39,False,sh688606
20240927,7.96,4.52,0.0,10.05,False,sh603898
20240926,5.24,49.0,0.0,49.0,True,sh600509
20240910,10.58,3.59,4.54,19.94,False,sh603218
20240927,2.65,9.43,0.0,14.72,False,sh600293
20250819,5.92,1.18,5.07,3.55,False,sh603730
20251110,57.76,-6.18,16.41,0.0,False,sh688648
20251020,8.68,12.1,0.0,13.94,False,sh688285
20250627,31.28,6.84,2.33,6.84,False,sh688078
20240801,3.15,-0.63,2.22,6.35,False,sh600339
20240926,3.33,-2.82,4.48,7.78,False,sh900905
20240927,4.86,19.95,1.03,22.01,True,sh603101
20240930,4.64,18.32,7.76,35.56,True,sh600610
20240927,2.38,15.16,1.26,15.16,False,sh601388
20251124,37.56,-0.67,4.9,3.89,False,sh688551
20250804,84.1,6.06,5.2,6.08,False,sh688036
20240930,2.95,4.07,12.2,10.17,False,sh601908
20251212,66.28,5.76,2.5,7.86,False,sh603087
20241101,12.42,10.23,2.42,10.23,False,sh600377
20240926,16.64,9.49,0.0,18.99,False,sh600521
20250624,8.4,30.6,1.55,30.6,True,sh688660
20250929,6.61,6.81,0.91,9.83,False,sh688033
20240927,1345.11,2.8,0.0,14.17,False,sh000853
20260206,25.9,2.28,10.27,6.25,False,sh603978
20260401,83.9,15.27,3.61,16.81,False,sh688800
20250724,25.3,11.11,2.41,12.65,False,sh688349
20240930,3.62,5.25,8.29,9.67,False,sh600792
20251024,7.94,-2.9,3.53,14.74,False,sh688280
20240902,2.66,9.77,5.64,18.05,False,sh600008
20240731,4.44,-18.27,19.39,0.0,False,sh600638
20240903,1.52,-16.45,17.11,5.26,False,sh600462
20251021,11.48,1.57,3.66,9.06,False,sh688579
20240926,39.43,9.08,0.0,24.47,True,sh601689
20250901,81.13,-9.68,11.67,1.57,False,sh688050
20240930,3.5,3.14,8.86,4.29,False,sh601113
20240930,7.31,3.56,8.34,3.97,False,sh603167
20260204,71.46,-9.1,21.63,0.0,False,sh688399
20250711,13.09,1.99,3.44,2.14,False,sh605577
20240926,7.36,12.36,0.0,18.75,False,sh600742
20251124,13.62,30.18,1.03,30.18,True,sh688403
20251027,29.26,-1.2,6.63,29.22,True,sh603052
20240801,11.92,-7.72,10.32,2.1,False,sh601069
20240902,10.32,3.78,10.37,13.86,False,sh603787
20240731,18.0,7.33,3.72,7.33,False,sh600096
20240927,9.8,13.37,1.12,19.39,False,sh603519
20240925,18.78,11.66,0.69,25.4,True,sh601877
20250804,46.9,23.37,0.32,28.53,True,sh688080
20251014,18.23,-6.03,8.39,2.3,False,sh601838
20240930,6.58,8.36,5.93,13.98,False,sh603803
20240826,7.76,10.18,0.39,10.18,False,sh600415
20260401,70.43,7.17,5.3,7.17,False,sh688233
20260325,20.3,4.24,3.55,4.68,False,sh603282
20240926,6.37,26.37,0.0,27.47,True,sh603528
20240920,2.0,35.5,1.5,64.0,True,sh600239
20240819,24.15,-13.79,14.29,3.31,False,sh603186
20241008,14.09,-10.36,17.89,0.0,False,sh603566
20241008,17.14,-9.8,14.24,0.0,False,sh601808
20250905,42.27,-7.17,11.4,1.28,False,sh688136
20240812,6.13,3.75,0.0,3.75,False,sh600213
20240926,4.22,28.44,0.0,35.31,True,sh603001
20251124,58.91,-0.83,5.94,4.02,False,sh688155
20240731,3.46,-2.6,4.33,0.29,False,sh600120
20240806,11.36,-4.05,9.15,1.41,False,sh600773
20251218,18.23,-2.74,2.91,0.0,False,sh601059
20250630,41.25,21.94,3.73,21.94,True,sh688261
20240731,9.12,-1.76,11.52,8.67,False,sh600894
20250714,31.89,26.37,8.31,26.37,True,sh603063
20240926,7440.93,9.14,0.0,19.67,False,sh000148
20240731,10.2,1.76,0.88,5.78,False,sh603998
20240925,7.74,17.04,0.0,28.02,True,sh600827
20240826,7.74,-9.56,21.06,0.0,False,sh603118
20250813,11.42,-6.83,9.98,0.0,False,sh688548
20240927,9.59,1.98,0.0,15.12,False,sh600200
20240731,9.22,1.08,0.76,4.77,False,sh600573
20260113,27.55,-9.62,10.53,3.45,False,sh603683
