benchmark_gain,breakthrough_date,breakthrough_price,final_gain,rs_diff,stock_gain,success,ts_code
0.0,20250924,6.12,-1.31,-5.7,-1.31,False,sh603880
-2.35,20240731,5.24,-3.63,3.64,-3.63,False,sh600497
0.0,20250717,17.25,2.2,12.16,2.2,False,sh688378
0.0,20251126,24.53,1.3,11.45,1.3,False,sh601089
21.37,20240923,18.4,8.75,-19.78,8.75,False,sh600988
-4.05,20240930,14.47,-3.73,24.95,-3.73,False,sh600072
0.0,20260105,35.19,-6.31,13.59,-6.31,False,sh603382
0.0,20250703,65.99,-9.09,5.52,-9.09,False,sh688333
10.03,20240926,3.42,2.64,-4.27,2.64,False,sh600515
-2.35,20240731,13.44,-4.46,4.58,-4.46,False,sh600346
-4.05,20240930,12.97,-9.33,15.08,-9.33,False,sh601717
0.0,20260324,26.24,9.41,-17.95,9.41,False,sh688350
0.0,20250811,18.22,1.92,-3.95,1.92,False,sh688299
-4.05,20240930,88.81,2.91,22.27,2.91,False,sh601127
10.03,20240926,6.15,4.88,7.5,4.88,False,sh600325
0.82,20250624,27.04,0.7,0.11,0.7,False,sh688819
-2.35,20240731,22.99,1.78,10.63,1.78,False,sh600196
-8.32,20241008,21.47,-13.78,24.66,-13.78,False,sh603960
-0.67,20240807,5.04,1.19,-0.65,1.19,False,sh601169
0.0,20250702,1.77,4.52,2.91,4.52,False,sh601588
-2.69,20240830,0.27,-0.75,21.31,-0.75,False,sh900957
10.03,20240926,3.87,5.43,0.31,5.43,False,sh600738
-4.05,20240930,15.28,-4.71,12.53,-4.71,False,sh603029
0.0,20260105,3.5,0.86,-2.23,0.86,False,sh601326
-4.05,20240930,2.7,-6.67,14.4,-6.67,False,sh600396
12.53,20240920,9.63,5.3,-10.53,5.3,False,sh600776
0.82,20250624,54.16,6.67,-1.86,6.67,False,sh603486
0.21,20240814,32.38,0.25,9.92,0.25,False,sh600211
5.69,20240927,3.66,3.55,-1.26,3.55,False,sh601789
0.82,20250624,14.98,-1.0,6.1,-1.0,False,sh688207
0.0,20251013,14.03,1.57,1.15,1.57,False,sh603836
-4.05,20240930,5.48,-5.29,10.15,-5.29,False,sh603330
-1.32,20240819,6.66,-4.35,21.32,-4.35,False,sh600421
0.0,20250725,28.48,-1.44,6.82,-1.44,False,sh688380
