,co_name,symbol,market,asset,co_business,amplitude,pe_s_d,co_intro,sc,hk_equity,exchange,mv,pe_s,pb_d,equity,ps,industry,turnover,oo,pb_MRQ
70,宝光实业,00084,主板,1.02,-,-,-,宝光实业(国际)有限公司,-,10.46亿,HK,5.96亿,-,0.56,10.46亿,0.20,钟表珠宝,0.13%,-,-
71,中电华大科技,00085,主板,0.82,-,-,-,中国电子华大科技有限公司,-,20.30亿,HK,28.82亿,2.7163,1.73,20.30亿,1.84,-,0.07%,-,-
72,新鸿基公司,00086,主板,8.32,-,-,-,新鸿基有限公司,-,21.74亿,HK,110.65亿,9.9524,0.61,21.74亿,3.15,证券及经纪业,0.05%,-,-
73,太古股份公司B,00087,主板,29.90,-,-,-,太古股份有限公司B,-,29.95亿,HK,414.54亿,4.286,0.46,29.95亿,1.66,综合企业,0.06%,-,-
74,TAI CHEUNG HOLD,00088,主板,11.13,-,-,-,大昌集团有限公司,-,6.18亿,HK,49.59亿,22.0488,0.72,6.18亿,28.32,综合地产,0.02%,-,-
75,大生地产,00089,主板,23.31,-,-,-,大生地产发展有限公司,-,2.88亿,HK,15.74亿,4.1964,0.23,2.88亿,5.63,地产投资,0.05%,-,-
76,普星能量,00090,主板,1.18,-,-,-,普星能量有限公司,-,4.59亿,HK,5.27亿,11.4242,0.97,4.59亿,1.69,-,0.04%,-,-
77,冠军科技集团,00092,主板,1.21,-,-,-,冠军科技集团有限公司,-,63.32亿,HK,7.15亿,-,0.09,63.32亿,4.91,软件及资讯科技顾问,0.01%,-,-
78,零在科技金融,00093,主板,0.34,-,-,-,零在科技金融集团有限公司,-,19.58亿,HK,14.49亿,-,2.17,19.58亿,47.74,综合地产,0.01%,-,-
79,绿心集团,00094,主板,0.62,-,-,-,绿心集团有限公司,-,14.86亿,HK,17.09亿,193.9733,1.85,14.86亿,3.10,-,0.01%,-,-
80,绿景中国地产,00095,主板,2.14,-,-,-,绿景(中国)地产投资有限公司,-,46.94亿,HK,91.06亿,10.1642,0.91,46.94亿,1.76,中国房地产,0.03%,-,-
81,YUSEI,00096,主板,1.20,-,-,-,友成控股有限公司,-,4.05亿,HK,8.66亿,12.2964,1.78,4.05亿,0.64,工业机械及设备,-,-,-
82,恒基发展,00097,主板,0.48,-,-,-,恒基兆业发展有限公司,-,30.47亿,HK,20.72亿,20.7218,1.41,30.47亿,2.33,-,0.06%,-,-
83,兴发铝业,00098,主板,4.51,-,-,-,兴发铝业控股有限公司,-,4.18亿,HK,13.46亿,4.0762,0.71,4.18亿,0.22,金属采矿及相关贸易,0.11%,-,-
84,王氏国际,00099,主板,6.24,-,-,-,王氏国际集团有限公司,-,4.78亿,HK,16.22亿,3.4847,0.54,4.78亿,0.44,电器部件及设备,-,-,-
85,MINIMAX-W,00100,主板,4.63,-,-,-,MiniMax Group Inc.,-,5.42亿,HK,46.59亿,16.9367,1.86,5.42亿,2.55,广告,0.02%,-,-
86,恒隆地产,00101,主板,28.14,-,-,-,恒隆地产有限公司,-,44.98亿,HK,876.13亿,14.2296,0.69,44.98亿,6.36,地产投资,0.05%,-,-
87,首佳科技,00103,主板,0.69,-,-,-,首佳科技制造有限公司,-,19.23亿,HK,5.00亿,47.5824,0.38,19.23亿,0.28,-,0.02%,-,-
88,ASIA COMM HOLD,00104,主板,0.26,-,-,-,冠亚商业集团有限公司,-,15.67亿,HK,3.27亿,-,0.81,15.67亿,0.39,钟表珠宝,-,-,-
89,凯联国际酒店,00105,主板,40.59,-,-,-,凯联国际酒店有限公司,-,3.60亿,HK,86.40亿,9.9154,0.59,3.60亿,12.78,地产投资,-,-,-
90,朗诗绿色管理,00106,主板,0.83,-,-,-,朗诗绿色管理有限公司,-,39.18亿,HK,26.64亿,4.0755,0.82,39.18亿,0.44,中国房地产,0.05%,-,-
91,四川成渝高速公路,00107,主板,4.87,-,-,-,四川成渝高速公路股份有限公司,-,8.95亿,HK,101.22亿,8.6056,0.68,30.58亿,0.88,公路基建,0.04%,-,-
92,国锐生活,00108,主板,0.59,-,-,-,国锐生活有限公司,-,9.02亿,HK,9.11亿,-,1.71,9.02亿,6.46,地产投资,0.01%,-,-
