,co_name,symbol,market,asset,co_business,amplitude,pe_s_d,co_intro,sc,hk_equity,exchange,mv,pe_s,pb_d,equity,ps,industry,turnover,oo,pb_MRQ
316,中国管业,00380,主板,0.33,-,-,-,中国管业集团有限公司,-,13.33亿,HK,3.05亿,6.0637,0.70,13.33亿,0.49,建筑材料,0.01%,-,-
317,权识国际,00381,主板,0.08,-,-,-,权识国际集团股份有限公司,-,60.93亿,HK,4.63亿,-,0.96,60.93亿,1.69,煤炭开采及相关贸易,-,-,-
318,中汇集团,00382,主板,1.58,-,-,-,中汇集团控股有限公司,-,28.64亿,HK,48.69亿,8.2576,1.08,28.64亿,0.61,-,0.03%,-,-
319,天安卓健,00383,主板,0.14,-,-,-,天安卓健有限公司,-,144.80亿,HK,54.30亿,-,2.60,144.80亿,3.72,投资控股及资产管理,0.01%,-,-
320,中国燃气,00384,主板,3.70,-,-,-,中国燃气控股有限公司,-,49.69亿,HK,588.27亿,25.1364,3.20,49.69亿,2.09,燃气公用事业,0.07%,-,-
321,建联集团,00385,主板,2.38,-,-,-,建联集团有限公司,-,5.95亿,HK,9.58亿,4.4774,0.68,5.95亿,0.21,建筑,0.01%,-,-
322,中国石油化工股份,00386,主板,6.56,-,-,-,中国石油化工股份有限公司,-,255.13亿,HK,7688.02亿,14.6362,0.97,1210.71亿,0.35,综合石油与燃气,0.17%,-,-
323,力丰(集团),00387,主板,1.69,集团主要从事金属加工机械、测量仪器、切削工具及电子设备之买卖、安装及提供有关之售後服务。,-,-,力丰(集团)有限公司,-,2.30亿,HK,3.08亿,12.9917,0.79,2.30亿,0.41,工业机械及设备,0.16%,-,-
324,香港交易所,00388,主板,27.82,-,-,-,香港交易及结算所有限公司,-,12.24亿,HK,2403.35亿,40.7471,7.06,12.24亿,19.28,其他金融服务,0.32%,-,-
325,通天酒业,00389,主板,0.34,-,-,-,中国通天酒业集团有限公司,-,20.13亿,HK,3.84亿,-,0.55,20.13亿,1.27,-,0.01%,-,-
326,中国中铁,00390,主板,6.86,-,-,-,中国中铁股份有限公司,-,42.07亿,HK,1482.60亿,11.2101,0.95,228.44亿,0.21,建筑,0.36%,-,-
327,美亚娱乐资讯,00391,主板,0.13,-,-,-,美亚娱乐资讯集团有限公司,-,59.24亿,HK,24.29亿,-,3.24,59.24亿,20.39,影视娱乐,0.04%,-,-
328,北京控股,00392,主板,45.42,-,-,-,北京控股有限公司,-,12.62亿,HK,468.89亿,7.418,0.82,12.62亿,0.81,燃气公用事业,0.14%,-,-
329,旭日企业,00393,主板,1.60,-,-,-,旭日企业有限公司,-,15.36亿,HK,15.36亿,17.5662,0.63,15.36亿,0.44,-,0.04%,-,-
330,兴利(香港)控股,00396,主板,0.49,本集团的主要业务为设计、制造、销售及市场推广住宅家具(主要包括木制家具及床垫)及进行其本身品牌及产品设计的许可经营。,-,-,兴利(香港)控股有限公司,-,8.06亿,HK,5.56亿,52.6212,1.40,8.06亿,1.40,家居耐用消费品,0.01%,-,-
331,嬴集团,00397,主板,0.99,-,-,-,嬴集团控股有限公司,-,29.12亿,HK,3.38亿,-,0.12,29.12亿,2.25,环保产品及服务,0.16%,-,-
332,东方表行集团,00398,主板,3.77,-,-,-,东方表行集团有限公司,-,5.71亿,HK,10.16亿,-,0.47,5.71亿,0.32,-,0.04%,-,-
333,星太链集团,00399,主板,0.36,-,-,-,星太链集团有限公司,-,14.64亿,HK,7.76亿,-,1.48,14.64亿,33.95,医疗保健服务,0.01%,-,-
334,硬蛋创新,00400,主板,2.74,-,-,-,硬蛋创新,-,14.82亿,HK,115.57亿,21.6163,2.85,14.82亿,0.81,-,-,-,-
335,万嘉集团,00401,主板,0.31,-,-,-,万嘉集团控股有限公司,-,6.48亿,HK,2.14亿,-,1.06,6.48亿,0.22,-,0.56%,-,-
336,星光集团,00403,主板,1.11,-,-,-,星光集团有限公司,-,5.25亿,HK,3.31亿,4.7801,0.57,5.25亿,0.20,造纸、印刷及包装,0.05%,-,-
337,有利集团,00406,主板,3.12,-,-,-,有利集团有限公司,-,4.38亿,HK,5.30亿,-,0.39,4.38亿,0.09,建筑,-,-,-
338,叶氏化工集团,00408,主板,4.49,-,-,-,叶氏化工集团有限公司,-,5.64亿,HK,18.95亿,11.1543,0.75,5.64亿,0.22,综合化工产品,0.01%,-,-
339,SOHO中国,00410,主板,7.43,-,-,-,SOHO中国有限公司,-,52.00亿,HK,223.06亿,22.4072,0.58,52.00亿,9.79,中国房地产,0.59%,-,-
340,南顺(香港),00411,主板,7.30,本集团的主要业务为制造及分销面粉、食用油、家用及工业用清洁用品。,-,-,南顺(香港)有限公司,-,2.43亿,HK,25.89亿,12.8174,1.46,2.43亿,0.50,包装食品与肉类,-,-,-
341,山高控股,00412,主板,0.13,-,-,-,山高控股集团有限公司,-,191.89亿,HK,63.32亿,90.9973,2.52,191.89亿,27.87,投资控股及资产管理,0.01%,-,-
342,南华集团控股,00413,主板,0.39,-,-,-,南华集团控股有限公司,-,132.21亿,HK,42.97亿,28.2428,0.83,132.21亿,1.12,综合企业,-,-,-
343,谢瑞麟,00417,主板,4.63,-,-,-,谢瑞麟珠宝(国际)有限公司,-,2.10亿,HK,6.31亿,27.4979,0.65,2.10亿,0.19,钟表珠宝,0.01%,-,-
344,方正控股,00418,主板,0.81,-,-,-,方正控股有限公司,-,12.00亿,HK,6.84亿,17.2947,0.70,12.00亿,0.63,软件及资讯科技顾问,0.32%,-,-
345,弘毅文化集团,00419,主板,0.07,-,-,-,弘毅文化集团,-,134.98亿,HK,51.97亿,-,5.17,134.98亿,31.07,-,0.82%,-,-
346,福田实业,00420,主板,2.74,-,-,-,福田实业(集团)有限公司,-,12.05亿,HK,12.17亿,9.5156,0.37,12.05亿,0.19,纺织及成衣,0.09%,-,-
347,越南制造加工出口,00422,主板,1.15,-,-,-,越南制造加工出口(控股)有限公司,-,9.08亿,HK,4.27亿,-,0.41,9.08亿,0.39,-,0.02%,-,-
348,经济日报集团,00423,主板,1.93,-,-,-,香港经济日报集团有限公司,-,4.32亿,HK,6.91亿,12.0135,0.83,4.32亿,0.61,出版,0.07%,-,-
349,敏实集团,00425,主板,10.53,-,-,-,敏实集团有限公司,-,11.36亿,HK,349.39亿,18.2898,2.92,11.36亿,3.25,汽车,0.29%,-,-
350,万华媒体,00426,主板,0.35,-,-,-,万华媒体集团有限公司,-,4.01亿,HK,6.17亿,-,4.44,4.01亿,4.75,出版,0.06%,-,-
351,中国天弓控股,00428,主板,4.43,-,-,-,中国天弓控股有限公司,-,8592.90万,HK,1.07亿,-,0.28,8592.90万,11.48,-,-,-,-
352,东方兴业控股,00430,主板,0.27,-,-,-,东方兴业控股有限公司,-,27.00亿,HK,3.70亿,6.0675,0.50,27.00亿,9.73,投资控股及资产管理,0.01%,-,-
353,大中华金融,00431,主板,0.06,-,-,-,大中华金融控股有限公司,-,68.64亿,HK,12.42亿,-,2.95,68.64亿,9.83,-,0.16%,-,-
354,盈大地产,00432,主板,12.29,-,-,-,盈科大衍地产发展有限公司,-,4.02亿,HK,12.40亿,-,0.25,4.02亿,6.63,-,0.13%,-,-
355,北方矿业,00433,主板,0.15,-,-,-,北方矿业股份有限公司,-,215.58亿,HK,33.41亿,-,1.00,215.58亿,10.33,金属采矿及相关贸易,0.02%,-,-
356,博雅互动,00434,主板,3.07,-,-,-,博雅互动国际有限公司,-,7.67亿,HK,28.21亿,12.2849,1.20,7.67亿,2.69,-,0.33%,-,-
357,新宇环保,00436,主板,0.23,-,-,-,新宇环保集团有限公司,-,30.36亿,HK,17.91亿,29.8929,2.61,30.36亿,5.31,-,0.14%,-,-
358,彩虹新能源,00438,主板,0.04,-,-,-,彩虹集团新能源股份有限公司,-,6.31亿,HK,16.07亿,13.6167,16.78,22.32亿,0.74,环保产品及服务,0.09%,-,-
359,瀚源控股,00439,主板,0.40,-,-,-,瀚源控股有限公司,-,61.10亿,HK,177.80亿,26.5804,7.22,61.10亿,50.88,电子消费品,0.02%,-,-
360,大新金融,00440,主板,65.11,-,-,-,大新金融集团有限公司,-,3.35亿,HK,200.71亿,10.574,0.92,3.35亿,2.74,-,0.04%,-,-
361,域能控股,00442,主板,2.29,-,-,-,域能控股有限公司,-,1.73亿,HK,10.87亿,-,2.75,1.73亿,1.87,-,0.06%,-,-
362,SINCEREWATCH HK,00444,主板,0.23,-,-,-,Sincere Watch (Hong Kong) Ltd.,-,49.82亿,HK,9.22亿,-,0.79,49.82亿,3.04,-,0.04%,-,-
363,鸿兴印刷集团,00450,主板,2.88,-,-,-,鸿兴印刷集团有限公司,-,9.08亿,HK,14.07亿,37.242,0.54,9.08亿,0.47,造纸、印刷及包装,0.02%,-,-
364,协鑫新能源,00451,主板,0.27,-,-,-,协鑫新能源控股有限公司,-,190.74亿,HK,65.80亿,46.5088,1.29,190.74亿,1.49,电器部件及设备,0.06%,-,-
365,天大药业,00455,主板,0.37,-,-,-,天大药业有限公司,-,21.51亿,HK,8.71亿,119.498,1.09,21.51亿,3.63,-,0.23%,-,-
366,新城市建设发展,00456,主板,0.18,本集团之主要业务为在中国从事物业发展及投资。,-,-,新城市建设发展集团有限公司,-,33.17亿,HK,12.44亿,961.2766,2.06,33.17亿,29.30,中国房地产,0.01%,-,-
367,联亚集团,00458,主板,4.56,-,-,-,联亚集团有限公司,-,2.72亿,HK,4.40亿,-,0.36,2.72亿,0.19,纺织及成衣,-,-,-
368,四环医药,00460,主板,1.30,-,-,-,四环医药控股集团有限公司,-,94.71亿,HK,316.33亿,16.5844,2.56,94.71亿,7.49,制药,0.40%,-,-
369,中国智能科技,00464,主板,-,-,-,-,中国智能科技有限公司,-,-,HK,-,-,-,-,-,个人及家居用品,-,-,-
370,富通科技,00465,主板,2.10,-,-,-,富通科技发展控股有限公司,-,3.11亿,HK,3.58亿,18.7757,0.55,3.11亿,0.10,综合科技,0.02%,-,-
371,联合能源集团,00467,主板,0.40,-,-,-,联合能源集团有限公司,-,262.26亿,HK,82.61亿,8.6965,0.79,262.26亿,2.04,石油/燃气设备及服务,0.02%,-,-
372,纷美包装,00468,主板,1.93,-,-,-,纷美包装有限公司,-,13.37亿,HK,53.88亿,14.4583,2.09,13.37亿,2.17,造纸、印刷及包装,0.15%,-,-
373,先导智能,00470,主板,-,-,-,-,无锡先导智能装备股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
374,中播数据,00471,主板,0.68,-,-,-,中播数据有限公司,-,18.76亿,HK,7.50亿,-,0.59,18.76亿,16.02,电讯服务,0.25%,-,-
375,新丝路控股集团,00472,主板,0.67,-,-,-,新丝路控股集团有限公司,-,32.08亿,HK,28.23亿,-,1.32,32.08亿,10.19,饮品 (酒精类),0.03%,-,-
376,信铭生命科技,00474,主板,1.28,-,-,-,信铭生命科技集团有限公司,-,41.86亿,HK,14.02亿,2.6742,0.26,41.86亿,8.01,煤炭开采及相关贸易,-,-,-
377,中发展控股,00475,主板,0.17,-,-,-,中发展控股有限公司,-,3.30亿,HK,4.39亿,-,7.76,3.30亿,31.74,-,-,-,-
378,科轩动力控股,00476,主板,0.75,-,-,-,科轩动力(控股)有限公司,-,44.46亿,HK,9.25亿,-,0.28,44.46亿,6.27,金属采矿及相关贸易,0.02%,-,-
379,香港兴业国际,00480,主板,12.14,-,-,-,香港兴业国际集团有限公司,-,13.50亿,HK,56.04亿,7.1484,0.34,13.50亿,2.43,综合地产,0.04%,-,-
380,圣马丁国际,00482,主板,0.29,-,-,-,圣马丁国际控股有限公司,-,13.12亿,HK,2.65亿,-,0.70,13.12亿,0.14,电子消费品,0.04%,-,-
381,包浩斯国际,00483,主板,1.86,-,-,-,包浩斯国际(控股)有限公司,-,3.67亿,HK,4.89亿,9.228,0.72,3.67亿,0.48,纺织及成衣,-,-,-
382,云游控股,00484,主板,8.68,-,-,-,云游控股有限公司,-,1.38亿,HK,12.95亿,-,1.08,1.38亿,2.92,-,0.34%,-,-
383,中国华星,00485,主板,0.10,-,-,-,中国华星集团有限公司,-,36.51亿,HK,4.96亿,-,1.42,36.51亿,0.60,电子消费品,0.01%,-,-
384,俄铝,00486,主板,1.68,-,-,-,俄罗斯铝业联合公司,-,151.93亿,HK,578.85亿,6.3476,2.26,151.93亿,0.94,金属采矿及相关贸易,0.01%,-,-
385,实德环球,00487,主板,0.21,-,-,-,实德环球有限公司,-,49.26亿,HK,10.94亿,-,1.06,49.26亿,1.81,-,-,-,-
386,丽新发展,00488,主板,0.83,-,-,-,丽新发展有限公司,-,302.45亿,HK,63.52亿,5.7942,0.25,302.45亿,3.96,综合地产,0.02%,-,-
387,英皇文化产业,00491,主板,0.24,-,-,-,英皇文化产业集团有限公司,-,32.13亿,HK,9.32亿,-,1.23,32.13亿,8.13,影视娱乐,0.01%,-,-
388,国美零售,00493,主板,1.17,-,-,-,国美零售控股有限公司,-,216.58亿,HK,220.91亿,61.4443,0.87,216.58亿,0.26,电子消费品,0.20%,-,-
389,PALADIN,00495,主板,0.70,-,-,-,百利大有限公司,-,13.43亿,HK,4.10亿,0.5675,0.44,13.43亿,20.39,地产投资,-,-,-
390,卡森国际,00496,主板,2.24,-,-,-,卡森国际控股有限公司,-,15.11亿,HK,19.95亿,-,0.59,15.11亿,0.55,家居耐用消费品,0.08%,-,-
391,资本策略地产,00497,主板,0.95,-,-,-,资本策略地产有限公司,-,100.37亿,HK,40.65亿,2.5321,0.43,100.37亿,5.12,中国房地产,0.05%,-,-
392,蓝河控股,00498,主板,0.79,-,-,-,蓝河控股有限公司,-,55.06亿,HK,9.58亿,-,0.22,55.06亿,1.51,-,0.02%,-,-
393,青岛控股,00499,主板,0.48,-,-,-,青岛控股国际有限公司,-,4.99亿,HK,4.09亿,-,1.69,4.99亿,82.47,地产投资,-,-,-
394,先丰服务集团,00500,主板,0.32,-,-,-,先丰服务集团有限公司,-,14.50亿,HK,26.09亿,-,5.55,14.50亿,3.65,-,0.06%,-,-
395,豪威集团,00501,主板,-,-,-,-,豪威集成电路(集团)股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
396,兴业合金,00505,主板,1.17,-,-,-,兴业合金材料集团有限公司,-,8.31亿,HK,5.49亿,5.7927,0.57,8.31亿,0.14,金属采矿及相关贸易,-,-,-
397,中国食品,00506,主板,1.95,-,-,-,中国食品有限公司,-,27.97亿,HK,85.04亿,17.0161,1.56,27.97亿,0.30,饮品 (非酒精类),0.32%,-,-
398,鼎亿集团投资,00508,主板,0.11,-,-,-,鼎亿集团投资有限公司,-,53.44亿,HK,76.42亿,-,13.44,53.44亿,92.81,-,0.53%,-,-
399,世纪阳光,00509,主板,0.59,-,-,-,世纪阳光集团控股有限公司,-,45.98亿,HK,13.10亿,4.1823,0.48,45.98亿,0.48,化肥与农用药剂,0.08%,-,-
400,时富金融服务集团,00510,主板,0.13,-,-,-,时富金融服务集团有限公司,-,41.34亿,HK,13.44亿,-,2.47,41.34亿,7.91,证券及经纪业,0.15%,-,-
401,电视广播,00511,主板,16.13,-,-,-,电视广播有限公司,-,4.38亿,HK,126.14亿,25.2316,1.79,4.38亿,2.95,-,-,-,-
402,远大医药,00512,主板,0.76,-,-,-,远大医药集团有限公司,-,22.37亿,HK,49.21亿,18.2024,2.89,22.37亿,1.29,制药,0.14%,-,-
403,恒和集团,00513,主板,0.25,-,-,-,恒和珠宝集团有限公司,-,68.31亿,HK,8.88亿,-,0.53,68.31亿,1.09,钟表珠宝,-,-,-
404,中华银科技,00515,主板,0.26,-,-,-,中华银科技控股有限公司,-,10.30亿,HK,4.12亿,-,1.55,10.30亿,1.01,电器部件及设备,0.12%,-,-
405,中远海运国际,00517,主板,5.02,-,-,-,中远海运国际(香港)有限公司,-,15.33亿,HK,50.28亿,21.1973,0.65,15.33亿,0.67,-,0.11%,-,-
406,同得仕(集团),00518,主板,1.16,本公司为投资控股公司。附属公司之主要业务为制造及销售成衣。,-,-,同得仕(集团)有限公司,-,4.64亿,HK,4.78亿,-,0.89,4.64亿,0.46,纺织及成衣,0.11%,-,-
407,诺科达科技,00519,主板,0.48,-,-,-,诺科达科技集团有限公司,-,20.88亿,HK,13.15亿,3.4978,1.31,20.88亿,64.58,中国房地产,0.57%,-,-
408,呷哺呷哺,00520,主板,1.81,-,-,-,呷哺呷哺餐饮管理(中国)控股有限公司,-,10.68亿,HK,76.80亿,18.8452,3.96,10.68亿,2.46,-,0.08%,-,-
409,CWT INT'L,00521,主板,0.29,-,-,-,CWT International Limited,-,114.00亿,HK,31.92亿,-,0.95,114.00亿,6.29,软件及资讯科技顾问,0.10%,-,-
410,ASMPT,00522,主板,22.10,-,-,-,ASMPT Limited,-,4.08亿,HK,451.93亿,31.9598,5.01,4.08亿,3.10,半导体,0.40%,-,-
411,长城天下,00524,主板,0.24,-,-,-,长城天下控股有限公司,-,8.75亿,HK,6.21亿,-,2.94,8.75亿,6.41,电讯服务,1.46%,-,-
412,广深铁路股份,00525,主板,4.43,-,-,-,广深铁路股份有限公司,-,14.31亿,HK,300.34亿,23.2776,0.96,70.84亿,1.56,铁路基建,0.14%,-,-
413,利时集团控股,00526,主板,0.33,-,-,-,利时集团(控股)有限公司,-,56.78亿,HK,35.77亿,121.2422,1.93,56.78亿,2.61,个人及家居用品,-,-,-
414,瑞风新能源,00527,主板,0.40,-,-,-,中国瑞风新能源控股有限公司,-,17.99亿,HK,12.95亿,-,1.78,17.99亿,2.81,环保公用事业,0.28%,-,-
415,金达控股,00528,主板,1.90,-,-,-,金达控股有限公司,-,6.30亿,HK,6.04亿,8.415,0.51,6.30亿,0.62,纺织及成衣,-,-,-
416,SIS INT'L,00529,主板,10.17,-,-,-,新龙国际集团有限公司,-,2.78亿,HK,11.54亿,4.8836,0.41,2.78亿,1.01,-,-,-,-
417,WKK INTL (HOLD),00532,主板,1.98,-,-,-,王氏港建国际(集团)有限公司,-,7.52亿,HK,6.32亿,13.9907,0.42,7.52亿,0.15,-,0.05%,-,-
418,金利来集团,00533,主板,3.76,-,-,-,金利来集团有限公司,-,9.82亿,HK,31.43亿,8.1328,0.85,9.82亿,2.11,纺织及成衣,0.02%,-,-
419,金地商置,00535,主板,0.69,-,-,-,金地商置集团有限公司,-,157.98亿,HK,85.31亿,5.3838,0.78,157.98亿,0.80,中国房地产,0.05%,-,-
420,贸易通,00536,主板,0.44,-,-,-,贸易通电子贸易有限公司,-,7.95亿,HK,12.24亿,15.5404,3.49,7.95亿,4.91,电子商贸及互联网服务,0.04%,-,-
421,味千(中国),00538,主板,3.48,本公司为於香港及中国销售日本拉面及日本菜式之快速休闲餐厅(「快速休闲餐厅」)连锁经营商。,-,-,味千(中国)控股有限公司,-,10.92亿,HK,35.58亿,4.7901,0.94,10.92亿,1.29,食肆,0.03%,-,-
422,迅捷环球控股,00540,主板,0.39,-,-,-,迅捷环球控股有限公司,-,6.00亿,HK,7.14亿,22.6782,3.03,6.00亿,0.65,-,0.01%,-,-
423,中国文旅农业,00542,主板,0.08,-,-,-,中国文旅农业集团有限公司,-,56.82亿,HK,12.16亿,-,2.53,56.82亿,10.09,-,0.08%,-,-
424,太平洋网络,00543,主板,1.01,-,-,-,太平洋网络有限公司,-,11.33亿,HK,19.49亿,11.5451,1.70,11.33亿,1.75,电子商贸及互联网服务,0.12%,-,-
425,大同集团,00544,主板,0.10,-,-,-,大同集团有限公司,-,24.32亿,HK,3.04亿,-,1.19,24.32亿,1.00,航空货运与物流,-,-,-
426,阜丰集团,00546,主板,3.04,-,-,-,阜丰集团有限公司,-,25.46亿,HK,127.56亿,10.6028,1.65,25.46亿,0.79,综合饮食制造,0.12%,-,-
427,数字王国,00547,主板,0.05,-,-,-,数字王国集团有限公司,-,224.19亿,HK,70.62亿,-,6.91,224.19亿,5.21,金属采矿及相关贸易,0.11%,-,-
428,深圳高速公路股份,00548,主板,6.73,-,-,-,深圳高速公路集团股份有限公司,-,7.48亿,HK,162.25亿,12.493,1.11,21.81亿,3.49,-,0.14%,-,-
429,律齐文化,00550,主板,0.55,-,-,-,律齐文化有限公司,-,3.70亿,HK,15.32亿,-,7.59,3.70亿,15.85,-,0.24%,-,-
430,裕元集团,00551,主板,22.35,-,-,-,裕元工业(集团)有限公司,-,16.49亿,HK,532.60亿,12.967,1.45,16.49亿,0.81,-,0.04%,-,-
431,中国通信服务,00552,主板,4.29,-,-,-,中国通信服务股份有限公司,-,23.91亿,HK,313.75亿,11.25,1.06,69.26亿,0.32,电讯服务,0.24%,-,-
432,南京熊猫电子股份,00553,主板,4.06,-,-,-,南京熊猫电子股份有限公司,-,2.42亿,HK,42.49亿,32.2585,1.14,9.14亿,1.04,电讯及网络器材,0.15%,-,-
433,汉思集团控股,00554,主板,-0.01,-,-,-,汉思集团控股有限公司,-,37.33亿,HK,8.21亿,-,48.86,37.33亿,3.31,石油/燃气设备及服务,-,-,-
434,泛亚环保,00556,主板,1.84,-,-,-,泛亚环保集团有限公司,-,8.40亿,HK,7.39亿,8.6752,0.48,8.40亿,0.79,环保产品及服务,0.01%,-,-
435,天元医疗,00557,主板,1.14,-,-,-,中国天元医疗集团有限公司,-,3.82亿,HK,11.13亿,-,2.56,3.82亿,11.78,酒店,0.04%,-,-
436,力劲科技,00558,主板,1.56,-,-,-,力劲科技集团有限公司,-,11.33亿,HK,7.03亿,1005.5732,0.40,11.33亿,0.22,工业机械及设备,-,-,-
437,德泰新能源集团,00559,主板,0.17,-,-,-,德泰新能源集团有限公司,-,52.32亿,HK,10.31亿,-,1.16,52.32亿,15.30,电器部件及设备,6.46%,-,-
438,珠江船务,00560,主板,2.46,-,-,-,珠江船务企业(股份)有限公司,-,10.80亿,HK,21.28亿,6.6457,0.80,10.80亿,0.88,-,0.08%,-,-
439,上实城市开发,00563,主板,2.55,-,-,-,上海实业城市开发集团有限公司,-,48.11亿,HK,84.68亿,16.041,0.69,48.11亿,1.40,-,0.17%,-,-
440,中创智领,00564,主板,6.30,-,-,-,中创智领(郑州)工业技术集团股份有限公司,-,2.43亿,HK,69.65亿,101.1065,0.64,17.32亿,1.55,-,0.07%,-,-
441,锦艺集团控股,00565,主板,0.45,-,-,-,锦艺集团控股有限公司,-,26.85亿,HK,17.45亿,4.0767,1.44,26.85亿,9.71,纺织及成衣,-,-,-
442,大昌微线集团,00567,主板,0.42,-,-,-,大昌微线集团有限公司,-,5.76亿,HK,2.13亿,-,0.89,5.76亿,0.96,电器部件及设备,-,-,-
443,山东墨龙,00568,主板,2.49,-,-,-,山东墨龙石油机械股份有限公司,-,2.56亿,HK,9.73亿,-,0.49,7.98亿,0.47,石油/燃气设备及服务,0.87%,-,-
444,中国中药,00570,主板,2.92,-,-,-,中国中药控股有限公司,-,44.32亿,HK,187.01亿,17.321,1.44,44.32亿,2.51,制药,0.07%,-,-
445,丰德丽控股,00571,主板,5.64,-,-,-,丰德丽控股有限公司,-,14.92亿,HK,12.23亿,15.1354,0.15,14.92亿,0.40,-,0.02%,-,-
446,未来世界控股,00572,主板,0.10,-,-,-,未来世界控股有限公司,-,64.85亿,HK,15.95亿,17.6353,2.54,64.85亿,21.54,造纸、印刷及包装,1.88%,-,-
447,稻香控股,00573,主板,1.72,-,-,-,稻香控股有限公司,-,10.17亿,HK,22.47亿,12.4043,1.28,10.17亿,0.51,-,0.08%,-,-
448,百信国际,00574,主板,0.81,-,-,-,百信国际控股有限公司,-,10.00亿,HK,4.05亿,47.8418,0.50,10.00亿,0.42,-,0.06%,-,-
449,励晶太平洋,00575,主板,0.79,-,-,-,励晶太平洋集团有限公司,-,18.37亿,HK,6.06亿,-,0.42,18.37亿,212.77,煤炭开采及相关贸易,0.32%,-,-
450,浙江沪杭甬,00576,主板,4.99,-,-,-,浙江沪杭甬高速公路股份有限公司,-,14.34亿,HK,393.49亿,11.7556,1.82,43.43亿,3.50,公路基建,0.25%,-,-
451,京能清洁能源,00579,主板,2.75,-,-,-,北京京能清洁能源电力股份有限公司,-,23.58亿,HK,159.39亿,7.2996,0.84,68.70亿,0.89,-,0.12%,-,-
452,赛晶科技,00580,主板,-,-,-,-,赛晶科技集团有限公司,-,-,HK,-,-,-,-,-,电器部件及设备,-,-,-
453,中国东方集团,00581,主板,2.91,-,-,-,中国东方集团控股有限公司,-,35.18亿,HK,79.85亿,9.9904,0.78,35.18亿,0.23,金属采矿及相关贸易,0.04%,-,-
454,神话世界,00582,主板,0.11,-,-,-,神话世界有限公司,-,1233.95亿,HK,154.24亿,-,1.18,1233.95亿,1.55,综合化工产品,0.18%,-,-
455,长城环亚控股,00583,主板,1.05,-,-,-,长城环亚控股有限公司,-,15.68亿,HK,30.41亿,1.8881,1.86,15.68亿,11.92,出版,-,-,-
456,意力国际,00585,主板,1.61,-,-,-,意力国际控股有限公司,-,6.89亿,HK,4.83亿,-,0.43,6.89亿,546.15,影视娱乐,0.01%,-,-
457,海螺创业,00586,主板,10.99,-,-,-,中国海螺创业控股有限公司,-,18.05亿,HK,270.35亿,12.2245,1.36,18.05亿,11.13,-,0.08%,-,-
458,海螺环保,00587,主板,1.19,-,-,-,中国海螺环保控股有限公司,-,71.96亿,HK,38.14亿,5.8796,0.44,71.96亿,1.72,制药,-,-,-
459,北京北辰实业股份,00588,主板,5.71,-,-,-,北京北辰实业股份有限公司,-,7.07亿,HK,108.75亿,11.6609,0.57,33.67亿,0.93,中国房地产,0.63%,-,-
460,六福集团,00590,主板,14.81,-,-,-,六福集团(国际)有限公司,-,5.87亿,HK,152.65亿,15.6469,1.76,5.87亿,1.35,钟表珠宝,0.06%,-,-
461,中国高精密,00591,主板,2.22,-,-,-,中国高精密自动化集团有限公司,-,10.38亿,HK,12.66亿,-,0.55,10.38亿,7.87,-,-,-,-
462,AV CONCEPT HOLD,00595,主板,0.99,-,-,-,先思行集团有限公司,-,7.73亿,HK,5.02亿,234.0074,0.66,7.73亿,0.43,半导体,0.14%,-,-
463,浪潮数字企业,00596,主板,1.92,-,-,-,浪潮数字企业技术有限公司,-,9.02亿,HK,14.42亿,24.0839,0.83,9.02亿,1.09,软件及资讯科技顾问,0.16%,-,-
464,中国外运,00598,主板,3.95,-,-,-,中国外运股份有限公司,-,21.45亿,HK,167.22亿,8.8612,0.92,46.06亿,0.31,海港与服务,0.92%,-,-
465,怡邦行控股,00599,主板,0.68,-,-,-,怡邦行控股有限公司,-,6.01亿,HK,4.92亿,6.2836,1.20,6.01亿,1.01,家居耐用消费品,-,-,-
466,爱芯元智,00600,主板,0.18,-,-,-,爱芯元智半导体股份有限公司,-,42.70亿,HK,3.16亿,-,0.40,42.70亿,6.79,中国房地产,0.05%,-,-
467,稀镁科技,00601,主板,0.15,"本集团之业务涉及设计、制造及销售各种掌上电子产品,主要为电子辞典、个人通讯产品,及制造原件设计生产产品。",-,-,稀镁科技集团控股有限公司,-,28.74亿,HK,10.20亿,-,2.34,28.74亿,2.66,电子消费品,0.01%,-,-
468,佳华百货控股,00602,主板,0.64,-,-,-,佳华百货控股有限公司,-,10.38亿,HK,4.88亿,10.46,0.74,10.38亿,0.54,百货公司,0.04%,-,-
469,中油燃气,00603,主板,0.49,-,-,-,中油燃气集团有限公司,-,58.26亿,HK,32.04亿,10.4634,1.13,58.26亿,0.50,燃气公用事业,0.03%,-,-
470,深圳控股,00604,主板,4.29,-,-,-,深圳控股有限公司,-,76.50亿,HK,277.68亿,8.8064,0.85,76.50亿,1.26,综合地产,0.19%,-,-
471,中国金融投资管理,00605,主板,0.78,-,-,-,中国金融投资管理有限公司,-,38.41亿,HK,26.50亿,8.0323,0.89,38.41亿,3.71,消费信贷及贷款融资,0.11%,-,-
472,中骏商管,00606,主板,5.00,-,-,-,中骏商管智慧服务控股有限公司,-,52.50亿,HK,187.95亿,12.9846,0.72,52.50亿,0.20,农产品,0.03%,-,-
