,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
5029,SuperX AI,SUPX,US,8.94,-,11.79%,-1.41/-,-,-8.78,-,-,-,-,3.87亿,-2121.45万,信息技术服务,3.94%,21.76%,19.48
5030,SurgePays,SURG,US,0.548,-,19.16%,-1.8/-,-,-17.96,-,-,-,-,1376.68万,-3606.89万,综合电信业务,5.64%,8.25%,-
5031,PowerBank,SUUN,US,0.68,-,5.40%,-0.13/-,-,4.94,-,-,-,-,3166.65万,-488.62万,电力,0.97%,1.23%,1.78
5032,Suzano,SUZ,US,9.1,-,1.71%,1.98/4.7,-,-2.67,-,-,-,-,115.03亿,24.48亿,林业与纸制品,0.23%,4.98%,1.44
5033,科兴生物,SVA,US,-,http://www.sinovac.com,-,-0.11/-,"北京科兴生物制品有限公司是由中维科生物技术有限公司、北京北大未名生物工程集团有限公司合资组建的生物高科技企业。公司于2001年在北京中关村高科技园区北大生物城注册成立，注册资本14121万元人民币。2003年9月北京科兴在美国OTCBB上市，并于2004年底转板美国证券交易所（AMEX），目前在纳斯达克全球精选市场（NasdaqGS：SVA）上市，是第一家在北美上市的中国疫苗企业。
科兴控股目前已上市产品包括针对甲型肝炎，流感，禽流感（H5N1）和H1N1流感等传染病的人用疫苗以及兽用狂犬病灭活疫苗，在研项目包括肠道病毒71型（EV71）疫苗，肺炎球菌结合疫苗，Hib疫苗和脑膜炎疫苗等。
另外科兴控股全资子公司——唐山怡安生物工程有限公司（Tangshan Yian Biological Engineering Co., Ltd.，简称“怡安生物”）,致力于动物疫苗的研究开发、生产和销售。",-,S1/F1,86 10 8289 0088,NASDAQ,中国北京市海淀区上地西路39号，邮编100085,3.89亿,-1087.20万,生物科技,-,14.57%,0.045
5034,Spring Valley III,SVAC,US,10.37,-,1.05%,0.45/134.8,-,-0.58,-,-,-,-,3.18亿,235.93万,资本市场,0.58%,71.95%,-
5035,Silicon Valley Acqui,SVAQ,US,-,-,-,-0.04/-,-,-,-,-,-,-,2.91亿,-34.31万,资本市场,-,-,1.5
5036,Service Properties,SVC,US,1.54,-,8.74%,-1.22/-,-,7.69,-,-,-,-,9.00亿,-2.02亿,酒店和度假村房地产投资信托,0.97%,22.69%,1.39
5037,Stellar V Capital,SVCC,US,10.47,-,0.00%,0.26/42.64,-,0,-,-,-,-,2.26亿,530.70万,资本市场,0.00%,88.34%,-
5038,Silvaco,SVCO,US,9.93,-,9.38%,-1.39/-,-,9.85,-,-,-,-,3.12亿,-4120.60万,软件,3.63%,23.84%,4.16
