,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
0,安捷伦科技,A,US,115.55,http://www.home.agilent.com,2.01%,1.08/25.31,安捷伦是全球最大的测试测量公司，是1999年从惠普公司分离出来的，当年1月该公司IPO融资额高达21亿美元，创下当年硅谷IPO融资之最。安捷伦的业务包括电子测量和生物分析测量，电子测量业务所涉及的市场包括通信测试和综合测试，产品领域包括光纤网络、传输网络、宽带和数据网络、无线通信和微波网络等；生物分析测量业务所涉及的市场包括生命科学，其中包括药物分析、基因表达和蛋白质组市场，以及化学分析，其中包括石化、环保、国土安全、法医、生物农业以及食品安全市场，产品领域包括：微阵列、微流体、气相色谱、液相色谱、质谱、软件和信息学、以及相关耗材、试剂和服务。,0.99,S1/F1,1-408-3458886,NYSE,5301 Stevens Creek Blvd. Santa Clara California 95051,326.55亿,3.05亿,生命科学工具,0.53%,90.64%,4.73
1,美国铝业,AA,US,66.01,http://www.alcoa.com,2.77%,1.61/16.64,Arconic Inc.于2016年3月10日在特拉华州注册成立，是为了控股母公司，美国铝业公司业务的分离与分销的目的。在母公司将这些业务转移给该公司之前，Alcoa Upstream Corporation将没有任何操作。其业务将包括集中在铝土矿业务部门氧化铝，电解铝，铸造产品，冷轧等矿产品与能源，它们将共同涵盖所有主要的生产经营活动，提供给Alcoa Upstream Corporation在供应链的每个关键环节的重要地位。Alcoa Upstream Corporation是全球铝生产具有成本竞争力的大型行业中的佼佼者。,0.98,S1/F1,412-553-4545,NYSE,-,174.18亿,4.25亿,金属与采矿,0.92%,76.08%,2.55
2,Artius II,AACB,US,10.38,-,0.05%,0.01/2109,-,0.1,-,-,-,-,2.87亿,13.62万,资本市场,0.20%,95.40%,-
3,全美在线,AACG,US,1.29,-,31.30%,-0.11/-,-,12.17,-,-,-,-,5550.87万,-687.07万,综合消费者服务,0.32%,0.24%,12.17
4,Armada Acquisition I,AACI,US,9.94,-,0.00%,0.08/-,-,0.1,-,-,-,-,3.38亿,-5.29万,资本市场,0.00%,50.14%,-
5,Abony I,AACO,US,9.85,-,0.25%,-/-,-,0,-,-,-,-,3.09亿,-9.97万,资本市场,-,-,-
6,美国航空,AAL,US,12.1,https://www.aa.com,3.57%,-0.58/39.62,"美国航空(American Airlines)致力提供卓越的全球飞行体验，公司共飞往50多个国家和地区的260多个城市。美国航空的机队由近900架飞机组成，每日从芝加哥、达拉斯/沃斯堡、洛杉矶、迈阿密和纽约五大枢纽起飞的航班数量超过了3,500班。美国航空的国际航线接近100条，包括伦敦、马德里、圣保罗、东京和北京等重要城市。",2.72,-,1-817-9631234,NASDAQ,-,80.03亿,-3.82亿,航空公司,6.37%,70.58%,-
7,美国大西洋,AAME,US,2.57,http://www.atlam.com,3.71%,0.22/10.9,"Atlantic American is a publicly traded (Nasdaq - AAME) holding company with three subsidiaries involved in well-defined specialty markets of the life, health, property and casualty insurance industries. Bankers Fidelity Life Insurance Company is the flagship carrier in the Life and Health Division.",0.39,-,-,NASDAQ,-,5242.09万,439.60万,保险,0.18%,5.28%,0.479
8,Acadian Asset,AAMI,US,67.78,-,2.91%,2.21/30.27,-,1.25,-,-,-,-,24.21亿,8000.00万,资本市场,0.60%,100.52%,39.96
9,应用光电,AAOI,US,162.17,-,18.06%,-0.64/-,-,17.74,-,-,NASDAQ,-,129.81亿,-3822.80万,半导体产品与设备,19.63%,64.64%,17.69
10,艾伦建材,AAON,US,99.59,http://www.aaon.com,5.67%,1.32/75.76,"AAON (NASDAQ: AAON) designs, manufactures and sells semi-custom heating, ventilation and air conditioning equipment (HVAC) for commercial and residential use. AAON is a world leader in creating comfortable and healthy indoor environments, efficiently, through the manufacture of premium HVAC equipment.",0.89,-,-,NASDAQ,-,81.51亿,1.08亿,耐用消费品,1.37%,89.95%,9.11
11,Advance Auto Parts,AAP,US,58.18,http://www.AdvanceAutoParts.com,3.96%,0.73/79.77,"Advance Auto Parts, Inc.始创于1929年。该公司是一家领先的专业零售商,其产品包括汽车零部件、附件、电池和维修项目，主要在美国运营销售。公司店铺经营的产品线广泛，包括轿车、厢式货车、运动型赛车和轻型卡车零部件。公司的服务对象有DIY客户、修理客户和商业客户。公司的商业客户主要有汽车修理厂、服务站及汽车经销商，将产品从公司店铺运送到客户的经营地。",0.03,S1/F1,-,NYSE,-,35.10亿,4400.00万,专营零售,1.74%,125.17%,1.6
12,亚盛医药,AAPG,US,23.95,-,2.82%,-0.5/-,-,7.21,-,-,-,-,22.35亿,-1.78亿,制药,-,0.02%,11.8
13,苹果,AAPL,US,271.06,http://investor.apple.com/,1.25%,2.85/33.79,苹果(AAPL)创建于1976年，设计研制了Mac便携式及桌上型电脑、OS X 操作系统，以及富有革命性的iPod、iTunes、iPhone 和iPad系列。苹果公司藉此由一家传统的硬件制造商，转变为一家互联网平台运营商,-0.87,http://sec.gov/Archives/edgar/data/1318605/000119312510149105/d424b4.htm,408-996-1010,NASDAQ,"1050 BING STREET SAN CARLOS, CA, USA",39794.70亿,420.97亿,电脑与外围设备,0.26%,64.59%,45.12
14,Aardvark,AARD,US,5.39,-,6.33%,-2.93/-,-,0.37,-,-,-,-,1.18亿,-5759.10万,制药,0.96%,48.82%,1.1
15,American Assets,AAT,US,20.91,http://www.aeat.com/,1.50%,0.92/23.07,"American Assets Trust is a full service, vertically integrated and self-administered real estate investment trust, or REIT, that owns, operates, acquires and develops high quality retail and office properties in attractive, high-barrier-to-entry markets primarily in Southern California, Northern California and Hawaii.  The company was formed to succeed to the real estate business of American Assets, Inc., a privately held corporation founded in 1967 and, as such, has significant experience, long-standing relationships and extensive knowledge of our core markets, submarkets and asset classes.  The company’s retail portfolio comprises approximately 3.0 million rentable square feet, and its office portfolio comprises approximately 1.8 million square feet.  In addition the company owns one mixed-use property and over 900 multifamily units.  The company intends to elect to be treated as a real estate investment trust, or REIT, for U.S. federal income tax purposes, commencing with the taxable year ending December 31, 2011.",1.01,-,-,NYSE,-,12.84亿,5564.80万,权益型REITs,0.45%,94.38%,1.12
16,Allied Gold,AAUC,US,31.92,-,0.35%,-0.45/-,-,0.35,-,-,-,-,40.18亿,-5184.70万,金属与采矿,0.21%,44.62%,9.86
17,联博控股,AB,US,38.82,http://www.alliancebernstein.com,0.94%,2.97/11.94,AllianceBernstein is a research-driven investment firm that is global in scope and client-centered in its mission,0.08,-,-,NYSE,-,35.79亿,3.00亿,资本市场,0.17%,15.95%,2.89
18,American Battery,ABAT,US,3.28,http://www.zqpt.com/,4.92%,-0.16/-,"中强公司成立于2000年9月，注册资本6835万元人民币，总资产为2亿人民币。公司总占地面积13.6万平方米，厂房及建筑物面积5万平方米，工业基础配套设施齐全，技术人员、装备、厂区规划各方面形成了一个现代化高科技的工业园区。 
 黑龙江龙江中强能源科技有限公司是集科、工、技、贸为一体的高新技术民营企业，主要从事聚合物锂离子电池及相关产品的研发、生产和销售。现有日产5万安时的聚合物锂离子电池生产线及日产1000台矿灯的组装生产线。已取得聚合物锂离子电池的国家专利知识产权",-1.06,-,0086-451-53118471,PINK,黑龙江省双城市经济技术开发区唯友路1号,4.32亿,-1958.05万,电子设备与仪器,1.73%,33.41%,3.63
19,艾伯维,ABBV,US,198.71,https://www.abbvie.com,1.55%,2.37/83.17,2013年1月2日，艾伯维正式从雅培公司拆分，独立在纽约证券交易所挂牌上市。艾伯维作为全球研究型生物制药公司，在全球拥有近25000名员工，产品销往170多个国家。,-1.11,S1/F1,1-847-9327900,NYSE,-,3514.71亿,42.26亿,制药,0.43%,74.55%,-
20,ABC银行,ABCB,US,84.89,http://www.amerisbank.com,3.26%,6.02/13.15,"Ameris Bank has been serving communities with personal service for almost 40 years. The company provides business and individual customers with a full range of products and services, including checking products, mortgage and refinancing solutions, treasury services, and investment options. 
Headquartered in Moultrie, GA, Ameris Bank has locations in Alabama, Florida, Georgia, and South Carolina.",0.32,-,-,NASDAQ,-,57.15亿,1.10亿,商业银行,1.80%,96.08%,1.4
21,AbCellera Biologics,ABCL,US,4.15,-,7.90%,-0.49/-,-,2.47,-,-,-,-,12.58亿,-1.46亿,生物科技,4.03%,35.72%,1.3
22,Abeona Therapeutics,ABEO,US,5.39,-,4.89%,1.34/4.32,-,-2.36,-,-,NASDAQ,-,3.07亿,7118.30万,生物科技,1.92%,68.24%,1.93
23,Ambev,ABEV,US,2.88,https://www.ambev-ir.com,1.67%,0.18/16.04,安贝夫啤酒，来自于巴西，世界十大啤酒厂商之一，年产量是55亿升。,-2.04,-,-,NYSE,-,453.99亿,28.31亿,饮料,0.17%,6.66%,2.83
24,阿斯伯里汽车集团,ABG,US,203.06,http://www.asburyauto.com/,2.80%,25.2/7.96,"Asbury Automotive Group, Inc. (NYSE: ABG), headquartered in Duluth, GA, is one of the largest automotive retailers in the U.S., with 2010 revenues of nearly $4 billion. Built through a combination of organic growth and strategic acquisitions, Asbury now operates 80 retail auto stores, encompassing 100 franchises for the sale and servicing of 29 different brands of American, European and Asian automobiles. Over 85% of sales are from import brands.",0.52,-,-,NYSE,-,39.18亿,4.92亿,专营零售,1.42%,105.73%,1.01
25,Able View全球,ABLV,US,0.769,-,13.51%,0.07/16.26,-,3.92,-,-,-,-,3798.09万,341.99万,个人用品,0.11%,0.05%,5.34
26,ABM工业,ABM,US,40.16,-,1.28%,0.64/14.92,-,-0.86,-,-,NYSE,-,23.51亿,3880.00万,商业服务与用品,0.85%,97.03%,1.36
27,爱彼迎,ABNB,US,142.82,-,3.05%,4.1/34.62,-,0.67,-,-,-,-,869.37亿,25.11亿,软件,0.66%,82.67%,10.6
28,Acumen,ABOS,US,2.57,-,5.06%,-2/-,-,-3.75,-,-,-,-,1.86亿,-1.21亿,制药,0.91%,50.04%,2.64
29,阿伯房地产信托,ABR,US,7.97,http://www.absolute-funds.com/,3.59%,0.56/14.27,"Arbor Realty Trust (NYSE:ABR) is a real estate investment trust that invests in a diversified portfolio of multifamily and commercial real estate related bridge and mezzanine loans, preferred equity investments, mortgage related securities and other real estate related assets.",2.31,-,-,NYSE,-,15.33亿,1.07亿,抵押型REITs,1.20%,57.34%,0.661
30,Absci,ABSI,US,3.94,-,4.41%,-0.84/-,-,-0.76,-,-,-,-,6.12亿,-1.15亿,生物科技,3.32%,78.39%,3.23
31,雅培,ABT,US,91.13,http://www.abbott.com,1.74%,0.62/25.29,雅培（Abbott Laboratories）公司于1888年在美国芝加哥由雅培医生创办，公司历经百年发展，如今的雅培公司已发展成今天一个医药及营养产品多元化的世界500强企业。雅培的医疗保健产品及服务主要包括医药、营养产品、医院用品及诊断用品。,-1.46,-,847-937-6l00,NYSE,-,1587.17亿,10.77亿,医疗保健设备,0.74%,80.07%,3.04
32,American Bitcoin,ABTC,US,1.24,-,7.94%,-0.17/-,-,-1.59,-,-,-,-,13.13亿,-1.53亿,软件,8.47%,24.56%,1.97
33,Abits Group,ABTS,US,1.125,-,17.93%,-0.27/-,-,1.35,-,-,-,-,355.78万,-64.20万,软件,2.61%,0.17%,0.366
34,Arbutus Biopharma,ABUS,US,4.2,-,6.12%,-0.17/-,-,-1.18,-,-,NASDAQ,-,8.27亿,-3350.10万,生物科技,5.22%,62.57%,10.8
35,ABVC BioPharma,ABVC,US,1.07,-,7.02%,-0.39/-,-,-6.14,-,-,-,-,2747.04万,-790.86万,制药,0.55%,3.42%,2.47
36,Above Food,ABVE,US,0.558,-,19.62%,-0.92/-,-,-11,-,-,-,-,2856.51万,-2637.23万,食品与日用品零售,4.96%,3.66%,-
37,Abivax,ABVX,US,114.56,-,4.40%,-5.67/-,-,1.38,-,-,-,-,90.71亿,-3.94亿,生物科技,1.33%,71.55%,16.98
38,Abacus Global,ABX,US,9.21,http://www.barrick.com,2.71%,0.38/24.24,巴里克黄金公司由彼得·蒙克(Peter Munk)创建于于1983年，其总部在加拿大多伦多，是全球最大的黄金生产商之一，旗下四个地区27座矿场06年黄金产量为864万盎司。主要在全世界从事黄金的勘探，开发，生产和销售。它是一家跨国的以黄金勘查和开发为主的矿业公司，总部设在多伦多市，下属公司遍布于四大洲多个国家，如加拿大、美国、秘鲁、智利、阿根挺、坦桑尼亚、澳大利亚等国。该公司拥有行业内仅有的A级资产负债表，2002年产金177.29吨，产量列世界第三位，其北美黄金产量占公司总量的61%，其全球金保有储量达2700多吨，其黄金地、采、选、冶技术处于世界领先地位，公司股票已在多伦多、纽约、伦敦、巴黎和瑞士交易所上市交易。主营业务包括以下三项：白金，参与铂和镍的发展项目；生产铜和银；从事勘探，开发，生产，销售黄金。,0,-,-,NYSE,-,8.85亿,3652.53万,资本市场,1.19%,29.11%,2.09
39,Arcosa,ACA,US,119.44,-,2.22%,4.25/28.14,-,-0.62,-,-,-,-,58.64亿,2.08亿,建筑与工程,0.46%,92.98%,2.22
40,Averin,ACAA,US,9.94,-,0.05%,-/-,-,0.17,-,-,-,-,3.22亿,-7.34万,资本市场,0.04%,-,-
41,阿卡迪亚,ACAD,US,21.96,http://www.acadia-pharm.com,2.53%,2.32/9.58,ACADIA Pharmaceuticals (Nasdaq: ACAD) is a biopharmaceutical company utilizing innovative technology to fuel drug discovery and clinical development of novel treatments for central nervous system disorders.,-0.68,-,-,NASDAQ,-,37.44亿,3.91亿,生物科技,0.52%,98.44%,3.05
42,Aurora Cannabis,ACB,US,3.39,-,4.27%,-0.84/-,-,3.35,-,-,-,-,1.92亿,-5456.32万,制药,2.87%,11.84%,0.491
43,卓远,ACCL,US,1.4,-,2.85%,0.08/19.11,-,-2.78,-,-,-,-,1952.99万,102.17万,专业服务,1.00%,0.27%,8.92
44,ACCO Brands,ACCO,US,3.31,-,2.46%,0.45/7.39,-,1.85,-,-,NYSE,-,3.05亿,4130.00万,商业服务与用品,0.52%,81.08%,0.459
45,ACCESS Newswire,ACCS,US,7.86,-,9.27%,1.11/7.07,-,-1.57,-,-,-,-,3033.34万,429.10万,软件,0.37%,31.96%,1
46,ProFrac Holding,ACDC,US,7.38,-,4.35%,-2.22/-,-,0.41,-,-,-,-,13.35亿,-3.74亿,能源设备与服务,3.57%,14.97%,1.86
47,Accel Entertainment,ACEL,US,12.31,-,1.84%,0.61/19.51,-,0.57,-,-,-,-,10.04亿,5147.00万,娱乐,0.57%,54.50%,3.72
48,Adicet Bio,ACET,US,7.9,http://www.aceto.com/,2.41%,-16.95/-,"Aceto Corporation, incorporated in 1947, is a global leader in the sourcing, quality assurance, regulatory support, marketing and distribution of pharmaceuticals, nutraceuticals, specialty chemicals and crop protection products.",0,-,-,NASDAQ,-,7581.16万,-1.17亿,制药,0.60%,67.18%,0.476
49,Acorn Energy,ACFN,US,18.34,-,1.65%,1.01/18.31,-,0.77,-,-,-,-,4596.92万,251.00万,专业服务,0.34%,2.61%,5.57
50,艾奇资本,ACGL,US,96.19,http://www.archcapgroup.com,1.39%,11.83/7.86,"Arch Capital Group Ltd. (Arch Capital) is a Bermuda public limited liability company with approximately $4.91 billion in capital at December 31, 2010. They write insurance and reinsurance on a worldwide basis through operations in Bermuda, the United States, Europe and Canada, with a focus on specialty lines",-1.92,-,-,NASDAQ,-,342.70亿,43.59亿,保险,0.44%,91.36%,1.47
51,Accendra Health,ACH,US,3.3,http://www.chalco.com.cn,6.55%,-14.31/-,中国铝业股份有限公司是由中国铝业公司、广西投资（集团）有限公司和贵州省物资开发投资公司共同以发起方式设立，并于2001年9月10日在中华人民共和国（中国）注册成立的股份有限公司。2001年12月11日、12日，中国铝业股票分别在纽约证券交易所和香港联合交易所有限公司挂牌上市。中国铝业是中国最大的氧化铝生产商，是全球第二大氧化铝生产商，同时也是中国最大的原铝生产商。,-1.79,-,86-10-82298103,NYSE,北京市海淀区富兴路12号B,2.52亿,-11.01亿,医疗保健服务,0.79%,91.28%,-
52,阿卡迪亚医疗保健,ACHC,US,27.38,-,6.77%,-12.16/-,-,0.15,-,-,NASDAQ,-,25.20亿,-11.03亿,医疗保健服务,3.44%,134.52%,1.29
53,Archer Aviation,ACHR,US,5.7,-,5.01%,-0.99/-,-,-1.21,-,-,-,-,42.44亿,-6.18亿,航空公司,3.37%,50.06%,1.93
54,Achieve Life,ACHV,US,4.02,-,6.14%,-1.25/-,-,-3.13,-,-,-,-,4.13亿,-5464.80万,制药,1.70%,43.96%,19.14
55,艾伯森,ACI,US,16.62,-,1.80%,0.4/39.29,-,-0.42,-,-,-,-,85.41亿,2.17亿,食品与日用品零售,1.95%,93.37%,4.65
56,American Coastal,ACIC,US,12.02,-,1.76%,2.2/5.44,-,0.67,-,-,-,-,5.81亿,1.07亿,保险,0.69%,32.41%,1.83
57,AC Immune,ACIU,US,2.84,-,5.56%,-0.88/-,-,-4.38,-,-,NASDAQ,-,2.89亿,-8876.89万,生物科技,0.23%,25.27%,5.11
58,ACI环球,ACIW,US,43.19,http://www.aciworldwide.com,3.27%,2.18/19.31,"ACI Worldwide powers electronic payments for financial institutions, retailers and processors around the world with its broad and integrated suite of electronic payment software.",2.32,-,-,NASDAQ,-,43.77亿,2.27亿,软件,0.58%,102.37%,2.88
59,亚舍立科技,ACLS,US,143.13,http://www.axcelis.com,6.81%,3.81/36.58,"Axcelis Technologies, Inc. is a world-leading provider of equipment and services to the semiconductor manufacturing industry. For over three decades, chipmakers from around the globe rely on Axcelis' tools and process expertise to form the transistors that power all electronics - from smartphones and laptops, cameras, personal music players and more.",2.34,-,-,NASDAQ,-,43.98亿,1.20亿,半导体产品与设备,2.81%,101.41%,4.25
60,Arcellx,ACLX,US,115.03,-,0.06%,-4.07/-,-,-0.02,-,-,-,-,67.27亿,-2.29亿,生物科技,5.32%,114.88%,16.72
61,AECOM,ACM,US,80.37,ttp://www.aecom.com,2.11%,0.57/22.14,"AECOM, formerly AECOM Technology Corporation, designs, builds, finances and operates infrastructure assets for governments, businesses and organizations around the world. The Company provides program and facilities management and maintenance, training, logistics, consulting, technical assistance, and systems integration and information technology (IT) services. T",-0.11,-,-,NYSE,-,103.91亿,7452.00万,建筑与工程,0.96%,89.08%,4.66
62,盛美,ACMR,US,56.1,-,4.45%,1.47/39.19,-,3.91,-,-,-,-,36.87亿,9407.80万,半导体产品与设备,1.51%,75.17%,2.52
63,埃森哲,ACN,US,178.36,-,3.43%,6.53/15.52,-,0.04,-,-,-,-,1186.88亿,40.37亿,专业服务,0.75%,80.65%,3.75
64,ACNB,ACNB,US,49.06,-,3.23%,3.61/9.94,-,-2.81,-,-,NASDAQ,-,5.07亿,1370.30万,商业银行,0.72%,40.31%,1.19
65,Ascent Industries,ACNT,US,14.52,-,3.02%,0.09/154.8,-,0.76,-,-,-,-,1.34亿,86.70万,化学制品,0.79%,57.11%,1.54
66,Alpha Cognition,ACOG,US,6.855,-,3.80%,-1.17/-,-,0.07,-,-,-,-,1.49亿,-2066.99万,制药,0.15%,44.99%,2.39
67,Aclarion,ACON,US,3.3,-,2.76%,-13.61/-,-,1.23,-,-,-,-,753.18万,-724.03万,生命科学工具,7.79%,0.87%,0.587
68,abrdn Income Credit,ACP,US,5.3,-,1.42%,0.31/17.29,-,0.57,-,-,NYSE,-,6.65亿,3845.52万,资本市场,0.53%,28.60%,0.9
69,ACRES Commercial,ACR,US,20.38,-,1.03%,0.03/608.1,-,0.79,-,-,-,-,1.45亿,23.90万,零售房地产投资信托,0.25%,47.05%,0.345
70,阿瑞斯商业地产,ACRE,US,5.26,-,3.08%,-0.02/-,-,1.15,-,-,NYSE,-,2.91亿,-90.20万,房地产管理和开发Ⅲ,0.71%,43.97%,0.572
71,Aclaris Therapeutics,ACRS,US,4.3,-,5.93%,-0.53/-,-,-5.49,-,-,NASDAQ,-,6.01亿,-6492.30万,制药,1.44%,69.24%,5.83
72,Acrivon Therapeutics,ACRV,US,1.91,-,5.56%,-2.02/-,-,1.06,-,-,-,-,7400.19万,-7790.50万,生物科技,1.41%,47.72%,0.658
73,Enact Holdings,ACT,US,43.84,-,1.41%,4.54/9.18,-,-0.16,-,-,-,-,61.90亿,6.74亿,综合金融服务,0.86%,21.24%,1.16
74,阿卡西亚,ACTG,US,4.86,-,3.21%,0.23/21.62,-,0.62,-,-,NASDAQ,-,4.69亿,2168.20万,商业服务与用品,0.15%,87.21%,0.863
75,Actuate,ACTU,US,2.97,-,24.11%,-1.06/-,-,17.39,-,-,-,-,7042.37万,-2222.79万,生物科技,2.82%,54.23%,8.89
76,Acme United,ACU,US,42.41,-,4.41%,2.69/16.97,-,-2.46,-,-,AMEX,-,1.62亿,98.50万,商业服务与用品,0.45%,69.01%,1.38
77,Virtus,ACV,US,26.24,http://www.alberto.com/index.aspx?ct=333458,2.00%,5.15/5.1,Alberto Culver是全球知名护发产品生产商。,0.04,-,-,NYSE,-,2.73亿,5344.90万,资本市场,0.16%,21.96%,1.01
78,ACV Auctions,ACVA,US,5.13,-,4.14%,-0.39/-,-,-1.16,-,-,-,-,8.93亿,-6614.10万,信息技术服务,1.59%,95.25%,2.08
79,Acurx,ACXP,US,1.98,-,5.77%,-5.32/-,-,-1.49,-,-,-,-,726.88万,-796.65万,制药,3.94%,3.46%,1.38
80,Array Digital,AD,US,48.19,-,3.75%,0.57/85.44,-,-1.37,-,-,-,-,41.66亿,4875.60万,无线电信业务,0.73%,33.37%,1.62
81,American Drive,ADAC,US,9.99,-,0.00%,0.01/3033,-,0.71,-,-,-,-,2.87亿,9.47万,资本市场,0.00%,-,-
82,天演药业,ADAG,US,3.69,-,3.74%,-0.3/-,-,-1.34,-,-,-,-,2.44亿,-1760.94万,制药,0.26%,3.72%,4.7
83,Adamas,ADAM,US,7.95,-,2.17%,1.12/7.11,-,1.53,-,-,-,-,7.19亿,1.01亿,抵押型REITs,0.63%,54.61%,0.811
84,奥多比,ADBE,US,245.44,http://www.adobe.com,3.03%,4.6/13.76,"Adobe系统公司提供面向企业、创意行业和移动产业的软件解决方案,是一家网络图表设计, 出版和图像软件供应商。它提供领先市场的系列应用软件产品，适用于对信息的创建、 分配和处理。公司对主要硬体制造商制定行业技术标准、开发软件，提供服务，并且为各种类型的企事业提供综合软体应用解决方案。Adobe Reader、Adobe Flash Player-于®、Adobe PostScript、Adobe AIR-
Adobe®Digital、 Editions-2007、Adobe Flex™ omniture® Online Marketing Suite- 等产品。",2.7,-,408-536-6000,NASDAQ,美国加州圣荷西,992.07亿,18.89亿,软件,1.61%,83.13%,8.68
85,艾格里不动产,ADC,US,76.69,http://www.agreerealty.com,1.17%,0.5/43.45,"Agree Realty Corporation is a fully-integrated, self-administered and self-managed real estate investment trust (REIT) based in Farmington Hills, Michigan. The Company is traded on the New York Stock Exchange under the symbol ADC.",-0.72,-,-,NYSE,-,92.11亿,6019.20万,零售房地产投资信托,0.54%,108.46%,1.52
86,ADC Therapeutics,ADCT,US,3.94,-,3.41%,-1.12/-,-,-0.51,-,-,-,-,5.01亿,-1.43亿,制药,1.00%,65.18%,-
87,Adeia,ADEA,US,30.31,-,2.36%,1.02/30.21,-,0.6,-,-,-,-,33.55亿,1.11亿,半导体产品与设备,0.98%,94.96%,6.98
88,Adagio Medical,ADGM,US,1.51,-,7.95%,-1.51/-,-,0,-,-,-,-,3353.78万,-2508.40万,医疗保健设备,0.28%,75.24%,2.71
89,亚德诺,ADI,US,399.57,http://www.regentherapeutics.com,1.99%,1.7/72.07,"Analog Devices, Inc. (NYSE: ADI) defines innovation and excellence in signal processing. ADI's analog, mixed-signal, and digital signal processing (DSP) integrated circuits (IC) play a fundamental role in converting, conditioning, and processing real-world phenomena such as light, sound, temperature, motion, and pressure into electrical signals to be used in a wide array of electronic equipment. But that doesn’t begin to capture the essence of what Analog Devices does for our customers, and ultimately for the end user.",-1.07,-,-,NASDAQ,-,1950.72亿,8.31亿,半导体产品与设备,0.93%,88.31%,5.77
90,Adial,ADIL,US,1.58,-,2.56%,-11.93/-,-,1.28,-,-,-,-,225.62万,-797.72万,制药,4.42%,14.14%,0.428
91,阿彻丹尼尔斯米德兰,ADM,US,69.23,https://www.adm.com,2.28%,2.23/30.95,"ADM (ADM)是一家主要从事于粮食加工、贮运和全球贸易的大型国际集团。公司是世界上最大的油籽、玉米和小麦加工企业之一，其大约2/3的收入来自对大豆、花生及其他油籽等的加工。

ADM 2001年和新加坡丰益国际集团共同投资组建益海集团。

2006年底，丰益国际以27亿美元收购了新加坡郭氏集团旗下的嘉里粮油，与其在中国的子公司益海集团合并，成立益海嘉里公司，成为中国的油脂业寡头，也成为了世界级的粮油巨头。

在本次丰益国际大收购中，丰益国际将通过与ADM换股的形式全资控股益海集团。

在交易全部完成后，ADM将通过其直接和间接控股，成为丰益国际的第二大股东。

国际上，美国ADM、美国邦基、美国嘉吉和法国路易达孚号称四大粮商。",-1.14,-,-,NYSE,-,333.62亿,10.78亿,食品,0.40%,86.53%,1.47
92,ADMA Biologics,ADMA,US,11.26,-,3.84%,0.62/17.8,-,1.62,-,-,NASDAQ,-,26.16亿,1.47亿,制药,1.83%,94.29%,5.48
93,Adient,ADNT,US,22.14,-,4.48%,-0.28/-,-,2.17,-,-,NYSE,-,17.34亿,-2200.00万,汽车零配件,0.83%,102.81%,1
94,自动数据处理,ADP,US,196.53,http://www.adp.com/,1.38%,5.13/18.68,Automatic Data Processing Inc（简称：ADP，纳斯达克代码:ADP）是一家外包服务公司，主要从事人力资源外包服务。,-1.01,-,-,NASDAQ,-,791.32亿,20.75亿,专业服务,0.85%,82.29%,12.38
95,Adaptive,ADPT,US,14.14,-,3.15%,-0.39/-,-,2.32,-,-,-,-,21.77亿,-5949.90万,生命科学工具,0.59%,97.07%,9.95
96,Ads-Tec Energy,ADSE,US,12.02,-,4.35%,-1.08/-,-,2.47,-,-,-,-,7.23亿,-6477.10万,电子设备与仪器,0.01%,48.16%,-
97,欧特克,ADSK,US,237.44,http://usa.autodesk.com/company/,2.83%,5.28/44.57,欧特克(Autodesk Inc NASDAQ：ADSK)是三维设计、工程及娱乐软件的领导者，其产品和解决方案被广泛应用于制造业、工程建设行业和传媒娱乐业。,2.35,-,-,NASDAQ,-,501.00亿,11.24亿,软件,0.66%,91.63%,16.45
98,ADT,ADT,US,7.26,-,1.73%,0.72/9.76,-,0.28,-,-,-,-,58.15亿,5.96亿,商业服务与用品,0.80%,102.55%,1.54
99,亚川,ADTN,US,16.93,http://www.adtran.com/,2.99%,-0.52/-,"ADTRAN, Inc. is a leading global provider of networking and communications equipment with an innovative portfolio of more than 1,700 solutions for use in the last mile of today’s telecommunications networks. Widely deployed by carriers, distributed enterprises and Small- and Medium-sized Businesses (SMBs), ADTRAN networking equipment solutions enable voice, data, video, and Internet communications across copper, fiber, and wireless network infrastructures. ADTRAN solutions are currently in use by every major U.S. service provider and many global ones, as well as by thousands of public, private and governmental organizations worldwide. ADTRAN is headquartered in Huntsville, Alabama, with sales offices strategically located throughout the United States and around the world.",1.14,-,-,NASDAQ,-,13.66亿,-4565.60万,通信设备,3.29%,87.72%,9.37
100,Aditxt,ADTX,US,0.283,-,6.92%,-1153.83/-,-,-2.08,-,-,-,-,25.60万,-4310.15万,生物科技,3.91%,0.74%,0.046
101,Aduro Clean,ADUR,US,11.95,-,6.03%,-0.33/-,-,1.44,-,-,-,-,4.02亿,-1057.51万,化学制品,1.35%,3.19%,13.59
102,爱德斯,ADUS,US,95.71,http://www.addus.com/,4.18%,5.31/18.63,"Founded in 1979, Addus HealthCare is a nationally recognized provider of high quality health care services.

Addus provides comprehensive health care services including skilled nursing, personal care aides, and rehabilitation. Addus HealthCare currently holds over two hundred home care contracts throughout the country. The company provides health care services to over 25,000 weekly consumers from 129 offices in 19 states.",1.32,-,-,NASDAQ,-,17.86亿,9591.00万,医疗保健服务,1.13%,98.65%,1.65
103,Advantage Solutions,ADV,US,33.39,-,6.04%,-0.7/-,-,2.36,-,-,-,-,4.38亿,-2.28亿,专业服务,1.46%,31.09%,0.791
