ts_code,trade_date,close,pe,pb,ps,total_mv,circ_mv
688003.SH,20260417,73.87,115.1206,7.166,8.9228,1435445.5335,1435445.5335
688003.SH,20260416,71.93,112.0972,6.9778,8.6885,1397747.3565,1397747.3565
688003.SH,20260415,69.2,107.8428,6.713,8.3587,1344697.86,1344697.86
688003.SH,20260414,69.85,108.8557,6.776,8.4372,1357328.6925,1357328.6925
688003.SH,20260413,68.48,106.7207,6.6431,8.2717,1330706.784,1330706.784
688003.SH,20260410,68.51,106.7674,6.6461,8.2754,1331289.7455,1331289.7455
688003.SH,20260409,69.82,108.809,6.7731,8.4336,1356745.731,1356745.731
688003.SH,20260408,69.08,107.6557,6.7013,8.3442,1342366.014,1342366.014
688003.SH,20260407,64.35,100.2844,6.2425,7.7729,1250452.4175,1250452.4175
688003.SH,20260403,61.41,95.7027,5.9573,7.4177,1193322.1905,1193322.1905
688003.SH,20260402,58.01,90.404,5.6275,7.0071,1127253.2205,1127253.2205
688003.SH,20260401,60.16,93.7546,5.836,7.2668,1169032.128,1169032.128
688003.SH,20260331,58.23,90.7469,5.6488,7.0336,1131528.2715,1131528.2715
688003.SH,20260330,60.65,94.5183,5.8836,7.3259,1178553.8325,1178553.8325
688003.SH,20260327,59.78,93.1624,5.7992,7.2209,1161647.949,1161647.949
688003.SH,20260326,58.34,90.9183,5.6595,7.0469,1133665.797,1133665.797
688003.SH,20260325,59.19,92.243,5.7419,7.1496,1150183.0395,1150183.0395
688003.SH,20260324,57.39,89.4378,5.5673,6.9322,1115205.3495,1115205.3495
688003.SH,20260323,54.03,84.2015,5.2414,6.5263,1049913.6615,1049913.6615
688003.SH,20260320,59.18,92.2274,5.741,7.1484,1149988.719,1149988.719
688003.SH,20260319,57.9,90.2326,5.6168,6.9938,1125115.695,1125115.695
688003.SH,20260318,58.9,91.791,5.7138,7.1146,1144547.745,1144547.745
688003.SH,20260317,57.12,89.017,5.5411,6.8995,1109958.696,1109958.696
688003.SH,20260316,59.28,92.3832,5.7507,7.1605,1151931.924,1151931.924
688003.SH,20260313,58.59,91.3079,5.6837,7.0771,1138523.8095,1138523.8095
688003.SH,20260312,60.34,94.0351,5.8535,7.2885,1172529.897,1172529.897
688003.SH,20260311,61.07,95.1728,5.9243,7.3767,1186715.2935,1186715.2935
688003.SH,20260310,62.31,97.1052,6.0446,7.5265,1210811.0355,1210811.0355
688003.SH,20260309,59.8,93.1936,5.8011,7.2233,1162036.59,1162036.59
688003.SH,20260306,62.01,96.6377,6.0155,7.4902,1204981.4205,1204981.4205
688003.SH,20260305,63.0,98.1805,6.1115,7.6098,1224219.15,1224219.15
688003.SH,20260304,65.88,102.6688,6.3909,7.9577,1280183.454,1280183.454
688003.SH,20260303,68.3,106.4402,6.6257,8.25,1327209.015,1327209.015
688003.SH,20260302,73.24,114.1388,7.1049,8.8467,1423203.342,1423203.342
688003.SH,20260227,76.16,118.6894,7.9174,9.1994,1479944.928,1479944.928
688003.SH,20260226,77.51,120.7932,8.0578,9.3625,1506178.1955,1506178.1955
688003.SH,20260225,74.8,116.5699,7.7761,9.0351,1453517.34,1453517.34
688003.SH,20260224,73.23,114.1232,7.6129,8.8455,1423009.0215,1423009.0215
688003.SH,20260213,75.16,117.131,7.8135,9.0786,1460512.878,1460512.878
688003.SH,20260212,76.58,119.3439,7.9611,9.2501,1488106.389,1488106.389
688003.SH,20260211,74.73,116.4608,7.7688,9.0267,1452157.0965,1452157.0965
688003.SH,20260210,75.9,118.2842,7.8904,9.168,1474892.595,1474892.595
688003.SH,20260209,76.7,119.5309,7.9736,9.2646,1490438.235,1490438.235
688003.SH,20260206,75.2,117.1933,7.8176,9.0834,1461290.16,1461290.16
688003.SH,20260205,76.66,119.4686,7.9694,9.2598,1489660.953,1489660.953
688003.SH,20260204,79.36,123.6763,8.2501,9.5859,1542127.488,1542127.488
688003.SH,20260203,80.1,124.8296,8.327,9.6753,1556507.205,1556507.205
688003.SH,20260202,80.8,125.9204,8.3998,9.7599,1570109.64,1570109.64
